row_id,provider,spec_file,path,method,operationId,summary,description,has_summary,has_description,has_operationId,deprecated
x22-0048,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/servers/{id},GET,mcp-portals-api-fetch-servers,Read the details of an MCP Server,Retrieves an MCP server's configuration and capability sync state.,true,true,true,false
x22-0049,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/servers/{id},PUT,mcp-portals-api-update-servers,Update an MCP Server,Updates an MCP server's configuration and credentials.,true,true,true,false
x22-0050,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/servers/{id},DELETE,mcp-portals-api-delete-servers,Delete an MCP Server,Deletes an MCP server from the account.,true,true,true,false
x22-0051,cloudflare,cloudflare.json,/accounts/{account_id}/access/ai-controls/mcp/servers/{id}/sync,POST,mcp-portals-api-sync-server,Sync MCP Server Capabilities,"Syncs an MCP server's capabilities and returns the updated server state, including any connection errors.",true,true,true,false
x22-0052,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps,GET,access-applications-list-access-applications,List Access applications,Lists all Access applications in an account.,true,true,true,false
x22-0053,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps,POST,access-applications-add-an-application,Add an Access application,Adds a new application to Access.,true,true,true,false
x22-0054,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/ca,GET,access-short-lived-certificate-c-as-list-short-lived-certificate-c-as,List short-lived certificate CAs,Lists short-lived certificate CAs and their public keys.,true,true,true,false
x22-0055,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id},GET,access-applications-get-an-access-application,Get an Access application,Fetches information about an Access application.,true,true,true,false
x22-0056,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id},PUT,access-applications-update-an-access-application,Update an Access application,Updates an Access application.,true,true,true,false
x22-0057,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id},DELETE,access-applications-delete-an-access-application,Delete an Access application,Deletes an application from Access.,true,true,true,false
x22-0058,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/ca,GET,access-short-lived-certificate-c-as-get-a-short-lived-certificate-ca,Get a short-lived certificate CA,Fetches a short-lived certificate CA and its public key.,true,true,true,false
x22-0059,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/ca,POST,access-short-lived-certificate-c-as-create-a-short-lived-certificate-ca,Create a short-lived certificate CA,Generates a new short-lived certificate CA and public key.,true,true,true,false
x22-0060,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/ca,DELETE,access-short-lived-certificate-c-as-delete-a-short-lived-certificate-ca,Delete a short-lived certificate CA,Deletes a short-lived certificate CA.,true,true,true,false
x22-0061,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/policies,GET,access-policies-list-access-app-policies,List Access application policies,Lists Access policies configured for an application. Returns both exclusively scoped and reusable policies used by the application.,true,true,true,false
x22-0062,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/policies,POST,access-policies-create-an-access-policy,Create an Access application policy,Creates a policy applying exclusive to a single application that defines the users or groups who can reach it. We recommend creating a reusable policy instead and subsequently referencing its ID in the application's 'policies' array.,true,true,true,false
x22-0063,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/policies/{policy_id},GET,access-policies-get-an-access-policy,Get an Access application policy,Fetches a single Access policy configured for an application. Returns both exclusively owned and reusable policies used by the application.,true,true,true,false
x22-0064,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/policies/{policy_id},PUT,access-policies-update-an-access-policy,Update an Access application policy,"Updates an Access policy specific to an application. To update a reusable policy, use the /accounts/{account_id}/policies/{uid} endpoint.",true,true,true,false
x22-0065,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/policies/{policy_id},DELETE,access-policies-delete-an-access-policy,Delete an Access application policy,"Deletes an Access policy specific to an application. To delete a reusable policy, use the /accounts/{account_id}/policies/{uid} endpoint.",true,true,true,false
x22-0066,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/policies/{policy_id}/make_reusable,PUT,access-policies-convert-reusable,Convert an Access application policy to a reusable policy,Converts an application-scoped policy to a reusable policy. The policy will no longer be exclusively scoped to the application. Further updates to the policy should go through the /accounts/{account_id}/policies/{uid} endpoint.,true,true,true,false
x22-0067,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/revoke_tokens,POST,access-applications-revoke-service-tokens,Revoke application tokens,Revokes all tokens issued for an application.,true,true,true,false
x22-0068,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/settings,PUT,access-applications-put-update-access-application-settings,Update Access application settings,Updates Access application settings.,true,true,true,false
x22-0069,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/settings,PATCH,access-applications-patch-update-access-application-settings,Update Access application settings,Updates Access application settings.,true,true,true,false
x22-0070,cloudflare,cloudflare.json,/accounts/{account_id}/access/apps/{app_id}/user_policy_checks,GET,access-applications-test-access-policies,Test Access policies,Tests if a specific user has permission to access an application.,true,true,true,false
x22-0071,cloudflare,cloudflare.json,/accounts/{account_id}/access/authenticator_device_aaguids,GET,access-authenticator-device-aaguids-list,List authenticator device AAGUIDs,Returns a list of Authenticator Device AAGUIDs for MFA configuration.,true,true,true,false
x22-0072,cloudflare,cloudflare.json,/accounts/{account_id}/access/bookmarks,GET,access-bookmark-applications-(-deprecated)-list-bookmark-applications,List Bookmark applications,Lists Bookmark applications.,true,true,true,true
x22-0073,cloudflare,cloudflare.json,/accounts/{account_id}/access/bookmarks/{bookmark_id},GET,access-bookmark-applications-(-deprecated)-get-a-bookmark-application,Get a Bookmark application,Fetches a single Bookmark application.,true,true,true,true
x22-0074,cloudflare,cloudflare.json,/accounts/{account_id}/access/bookmarks/{bookmark_id},POST,access-bookmark-applications-(-deprecated)-create-a-bookmark-application,Create a Bookmark application,Create a new Bookmark application.,true,true,true,true
x22-0075,cloudflare,cloudflare.json,/accounts/{account_id}/access/bookmarks/{bookmark_id},PUT,access-bookmark-applications-(-deprecated)-update-a-bookmark-application,Update a Bookmark application,Updates a configured Bookmark application.,true,true,true,true
x22-0076,cloudflare,cloudflare.json,/accounts/{account_id}/access/bookmarks/{bookmark_id},DELETE,access-bookmark-applications-(-deprecated)-delete-a-bookmark-application,Delete a Bookmark application,Deletes a Bookmark application.,true,true,true,true
x22-0077,cloudflare,cloudflare.json,/accounts/{account_id}/access/certificates,GET,access-mtls-authentication-list-mtls-certificates,List mTLS certificates,Lists all mTLS root certificates.,true,true,true,false
x22-0078,cloudflare,cloudflare.json,/accounts/{account_id}/access/certificates,POST,access-mtls-authentication-add-an-mtls-certificate,Add an mTLS certificate,Adds a new mTLS root certificate to Access.,true,true,true,false
x22-0079,cloudflare,cloudflare.json,/accounts/{account_id}/access/certificates/settings,GET,access-mtls-authentication-list-mtls-certificates-hostname-settings,List all mTLS hostname settings,List all mTLS hostname settings for this account.,true,true,true,false
x22-0080,cloudflare,cloudflare.json,/accounts/{account_id}/access/certificates/settings,PUT,access-mtls-authentication-update-an-mtls-certificate-settings,Update an mTLS certificate's hostname settings,Updates an mTLS certificate's hostname settings.,true,true,true,false
x22-0081,cloudflare,cloudflare.json,/accounts/{account_id}/access/certificates/{certificate_id},GET,access-mtls-authentication-get-an-mtls-certificate,Get an mTLS certificate,Fetches a single mTLS certificate.,true,true,true,false
x22-0082,cloudflare,cloudflare.json,/accounts/{account_id}/access/certificates/{certificate_id},PUT,access-mtls-authentication-update-an-mtls-certificate,Update an mTLS certificate,Updates a configured mTLS certificate.,true,true,true,false
x22-0083,cloudflare,cloudflare.json,/accounts/{account_id}/access/certificates/{certificate_id},DELETE,access-mtls-authentication-delete-an-mtls-certificate,Delete an mTLS certificate,Deletes an mTLS certificate.,true,true,true,false
x22-0084,cloudflare,cloudflare.json,/accounts/{account_id}/access/custom_pages,GET,access-custom-pages-list-custom-pages,List custom pages,List custom pages,true,true,true,false
x22-0085,cloudflare,cloudflare.json,/accounts/{account_id}/access/custom_pages,POST,access-custom-pages-create-a-custom-page,Create a custom page,Create a custom page,true,true,true,false
x22-0086,cloudflare,cloudflare.json,/accounts/{account_id}/access/custom_pages/validate,POST,access-custom-pages-validate-a-custom-page-template,Validate a custom page template,Validate a Liquid template and return its errors and warnings without persisting it.,true,true,true,false
x22-0087,cloudflare,cloudflare.json,/accounts/{account_id}/access/custom_pages/{custom_page_id},GET,access-custom-pages-get-a-custom-page,Get a custom page,Fetches a custom page and also returns its HTML.,true,true,true,false
x22-0088,cloudflare,cloudflare.json,/accounts/{account_id}/access/custom_pages/{custom_page_id},PUT,access-custom-pages-update-a-custom-page,Update a custom page,Update a custom page,true,true,true,false
x22-0089,cloudflare,cloudflare.json,/accounts/{account_id}/access/custom_pages/{custom_page_id},DELETE,access-custom-pages-delete-a-custom-page,Delete a custom page,Delete a custom page,true,true,true,false
x22-0090,cloudflare,cloudflare.json,/accounts/{account_id}/access/gateway_ca,GET,access-gateway-ca-list-SSH-ca,List SSH Certificate Authorities (CA),Lists SSH Certificate Authorities (CA).,true,true,true,false
x22-0091,cloudflare,cloudflare.json,/accounts/{account_id}/access/gateway_ca,POST,access-gateway-ca-add-an-SSH-ca,Add a new SSH Certificate Authority (CA),Adds a new SSH Certificate Authority (CA).,true,true,true,false
x22-0092,cloudflare,cloudflare.json,/accounts/{account_id}/access/gateway_ca/{certificate_id},DELETE,access-gateway-ca-delete-an-SSH-ca,Delete an SSH Certificate Authority (CA),Deletes an SSH Certificate Authority.,true,true,true,false
x22-0093,cloudflare,cloudflare.json,/accounts/{account_id}/access/groups,GET,access-groups-list-access-groups,List Access groups,Lists all Access groups.,true,true,true,false
x22-0094,cloudflare,cloudflare.json,/accounts/{account_id}/access/groups,POST,access-groups-create-an-access-group,Create an Access group,Creates a new Access group.,true,true,true,false
x22-0095,cloudflare,cloudflare.json,/accounts/{account_id}/access/groups/{group_id},GET,access-groups-get-an-access-group,Get an Access group,Fetches a single Access group.,true,true,true,false
x22-0096,cloudflare,cloudflare.json,/accounts/{account_id}/access/groups/{group_id},PUT,access-groups-update-an-access-group,Update an Access group,Updates a configured Access group.,true,true,true,false
x22-0097,cloudflare,cloudflare.json,/accounts/{account_id}/access/groups/{group_id},DELETE,access-groups-delete-an-access-group,Delete an Access group,Deletes an Access group.,true,true,true,false
x22-0098,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers,GET,access-identity-providers-list-access-identity-providers,List Access identity providers,Lists all configured identity providers.,true,true,true,false
x22-0099,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers,POST,access-identity-providers-add-an-access-identity-provider,Add an Access identity provider,Adds a new identity provider to Access.,true,true,true,false
x22-0100,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers/{identity_provider_id},GET,access-identity-providers-get-an-access-identity-provider,Get an Access identity provider,Fetches a configured identity provider.,true,true,true,false
x22-0101,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers/{identity_provider_id},PUT,access-identity-providers-update-an-access-identity-provider,Update an Access identity provider,Updates a configured identity provider.,true,true,true,false
x22-0102,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers/{identity_provider_id},DELETE,access-identity-providers-delete-an-access-identity-provider,Delete an Access identity provider,Deletes an identity provider from Access.,true,true,true,false
x22-0103,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers/{identity_provider_id}/saml_certificate,POST,access-identity-providers-create-saml-certificate-for-identity-provider,Create SAML encryption certificate for Identity Provider,"Creates a new SAML encryption certificate set and assigns it to the specified 
SAML Identity Provider. This endpoint is idempotent - if the IdP already has 
a certificate set assigned, the existing certificate set is returned with a 200 status.

**Workflow for enabling SAML encryption:**
1. Call this endpoint to create and assign a certificate set to the IdP
2. Update the IdP configuration (PUT `/identity_providers/{id}`) with:
   - `config.enable_encryption: true`
   - `saml_certificate_set_id: <uid from step 1>`
3. Configure the certificate's public key in your external SAML Identity Provider",true,true,true,false
x22-0104,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers/{identity_provider_id}/scim/groups,GET,access-identity-providers-list-scim-group-resources,List SCIM Group resources,Lists SCIM Group resources synced to Cloudflare via the System for Cross-domain Identity Management (SCIM).,true,true,true,false
x22-0105,cloudflare,cloudflare.json,/accounts/{account_id}/access/identity_providers/{identity_provider_id}/scim/users,GET,access-identity-providers-list-scim-user-resources,List SCIM User resources,Lists SCIM User resources synced to Cloudflare via the System for Cross-domain Identity Management (SCIM).,true,true,true,false
x22-0106,cloudflare,cloudflare.json,/accounts/{account_id}/access/idp_federation_grants,GET,access-idp-federation-grants-list,List IdP federation grants,Lists the IdP federation grants owned by the account.,true,true,true,false
x22-0107,cloudflare,cloudflare.json,/accounts/{account_id}/access/idp_federation_grants,POST,access-idp-federation-grants-create,Create an IdP federation grant,"Creates an IdP federation grant for the specified identity provider, making it
available for federation to other accounts in the same Cloudflare organization.

The account must belong to a Cloudflare organization. One-time pin and
Cloudflare-managed identity providers cannot be federated. An account
can federate at most five identity providers at a time.",true,true,true,false
x22-0108,cloudflare,cloudflare.json,/accounts/{account_id}/access/idp_federation_grants/{grant_id},GET,access-idp-federation-grants-get,Get an IdP federation grant,Retrieves a single IdP federation grant by its UID.,true,true,true,false
x22-0109,cloudflare,cloudflare.json,/accounts/{account_id}/access/idp_federation_grants/{grant_id},DELETE,access-idp-federation-grants-delete,Delete an IdP federation grant,"Deletes an IdP federation grant. The identity provider remains in the account,
but it is no longer available for federation to other accounts.",true,true,true,false
x22-0110,cloudflare,cloudflare.json,/accounts/{account_id}/access/keys,GET,access-key-configuration-get-the-access-key-configuration,Get the Access key configuration,Gets the Access key rotation settings for an account.,true,true,true,false
x22-0111,cloudflare,cloudflare.json,/accounts/{account_id}/access/keys,PUT,access-key-configuration-update-the-access-key-configuration,Update the Access key configuration,Updates the Access key rotation settings for an account.,true,true,true,false
x22-0112,cloudflare,cloudflare.json,/accounts/{account_id}/access/keys/rotate,POST,access-key-configuration-rotate-access-keys,Rotate Access keys,Perfoms a key rotation for an account.,true,true,true,false
x22-0113,cloudflare,cloudflare.json,/accounts/{account_id}/access/logs/access_requests,GET,access-authentication-logs-get-access-authentication-logs,Get Access authentication logs,Gets a list of Access authentication audit logs for an account.,true,true,true,false
x22-0114,cloudflare,cloudflare.json,/accounts/{account_id}/access/logs/jit_requests,GET,access-jit-request-logs-list,List Access JIT request logs,Lists account-wide Access JIT request logs reconstructed from request lifecycle events.,true,true,true,false
x22-0115,cloudflare,cloudflare.json,/accounts/{account_id}/access/logs/jit_requests/{knock_request_id},GET,access-jit-request-logs-get,Get an Access JIT request log,Gets an account-scoped Access JIT request summary and its lifecycle events in chronological order.,true,true,true,false
x22-0116,cloudflare,cloudflare.json,/accounts/{account_id}/access/logs/scim/updates,GET,access-scim-update-logs-list-access-scim-update-logs,List Access SCIM update logs,Lists Access SCIM update logs that maintain a record of updates made to User and Group resources synced to Cloudflare via the System for Cross-domain Identity Management (SCIM).,true,true,true,false
x22-0117,cloudflare,cloudflare.json,/accounts/{account_id}/access/organizations,GET,zero-trust-organization-get-your-zero-trust-organization,Get your Zero Trust organization,Returns the configuration for your Zero Trust organization.,true,true,true,false
x22-0118,cloudflare,cloudflare.json,/accounts/{account_id}/access/organizations,POST,zero-trust-organization-create-your-zero-trust-organization,Create your Zero Trust organization,Sets up a Zero Trust organization for your account.,true,true,true,false
x22-0119,cloudflare,cloudflare.json,/accounts/{account_id}/access/organizations,PUT,zero-trust-organization-update-your-zero-trust-organization,Update your Zero Trust organization,Updates the configuration for your Zero Trust organization.,true,true,true,false
x22-0120,cloudflare,cloudflare.json,/accounts/{account_id}/access/organizations/doh,GET,zero-trust-organization-get-your-zero-trust-organization-doh-settings,Get your Zero Trust organization DoH settings,Returns the DoH settings for your Zero Trust organization.,true,true,true,false
x22-0121,cloudflare,cloudflare.json,/accounts/{account_id}/access/organizations/doh,PUT,zero-trust-organization-update-your-zero-trust-organization-doh-settings,Update your Zero Trust organization DoH settings,Updates the DoH settings for your Zero Trust organization.,true,true,true,false
x22-0122,cloudflare,cloudflare.json,/accounts/{account_id}/access/organizations/revoke_user,POST,zero-trust-organization-revoke-all-access-tokens-for-a-user,Revoke all Access tokens for a user,Revokes a user's access across all applications.,true,true,true,false
x22-0123,cloudflare,cloudflare.json,/accounts/{account_id}/access/policies,GET,access-policies-list-access-reusable-policies,List Access reusable policies,Lists Access reusable policies.,true,true,true,false
x22-0124,cloudflare,cloudflare.json,/accounts/{account_id}/access/policies,POST,access-policies-create-an-access-reusable-policy,Create an Access reusable policy,Creates a new Access reusable policy.,true,true,true,false
x22-0125,cloudflare,cloudflare.json,/accounts/{account_id}/access/policies/{policy_id},GET,access-policies-get-an-access-reusable-policy,Get an Access reusable policy,Fetches a single Access reusable policy.,true,true,true,false
x22-0126,cloudflare,cloudflare.json,/accounts/{account_id}/access/policies/{policy_id},PUT,access-policies-update-an-access-reusable-policy,Update an Access reusable policy,Updates a Access reusable policy.,true,true,true,false
x22-0127,cloudflare,cloudflare.json,/accounts/{account_id}/access/policies/{policy_id},DELETE,access-policies-delete-an-access-reusable-policy,Delete an Access reusable policy,Deletes an Access reusable policy.,true,true,true,false
x22-0128,cloudflare,cloudflare.json,/accounts/{account_id}/access/policy-tests,POST,access-policy-tests,Start Access policy test,Starts an Access policy test.,true,true,true,false
x22-0129,cloudflare,cloudflare.json,/accounts/{account_id}/access/policy-tests/{policy_test_id},GET,access-policy-tests-get-an-update,Get the current status of a given Access policy test,Fetches the current status of a given Access policy test.,true,true,true,false
x22-0130,cloudflare,cloudflare.json,/accounts/{account_id}/access/policy-tests/{policy_test_id}/users,GET,access-policy-tests-get-a-user-page,Get an Access policy test users page,Fetches a single page of user results from an Access policy test.,true,true,true,false
