set,vendor,method,path,operationId,summary,truth,step,class,rule,flag,verdict
camara,camara,DELETE,/calls/{callId},terminateCall,Terminate an active call,x,3,x,live-verb,,ok
camara,camara,GET,/calls/{callId}/recording,getRecording,Get call recording,r,1,r,method,,ok
camara,camara,POST,/subscriptions,createConnectedNetworkTypeSubscription,Create a subscription for receiving notifications on changes to the connected network type of a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveConnectedNetworkTypeSubscriptionList,Retrieve a list of device connected network type event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveConnectedNetworkTypeSubscription,Retrieve a device connected network type event subscription for a device,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,getConnectedNetworkType,Get the connected network type,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createSubscription,Create a Connectivity insights subscription for a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,getSubscriptionList,Retrieve a list of apiName event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},getSubscription,Operation to retrieve a subscription based on the provided ID,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteSubscription,Operation to delete a subscription,w,2,w,floor,x-pile,ok
camara,camara,POST,/check-network-quality,checkNetworkQuality,Check the network quality.,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve,retrieveStatus,Create a request to retrieve the validity status of the data processing,r,1,r,read-verb,,ok
camara,camara,POST,/consents,createConsent,Create User Consent,x,3,x,floor,,ok
camara,camara,PATCH,/consents/{consentId},updateConsent,Update User Consent,w,3,x,other-noun,,FALSE-ALARM
camara,camara,POST,/consents/retrieve-info,retrieveConsentInfo,Retrieve Consent Information,r,1,r,read-verb,,ok
camara,camara,POST,/scoring/retrieve,retrieveScoring,Retrieves Scoring information,r,1,r,read-verb,,ok
camara,camara,GET,/accesses,listAccesses,"Get a paged list of accesses to dedicated networks, optionally filtered for a given device and/or for a given dedicated network",r,1,r,method,,ok
camara,camara,POST,/accesses,createAccess,"Create an access to a dedicated network with given configuration, optionally including devices",x,3,x,floor,,ok
camara,camara,GET,/accesses/{accessId},readAccess,Read access information,r,1,r,method,,ok
camara,camara,DELETE,/accesses/{accessId},deleteAccess,Delete an access,x,2,w,floor,x-pile,LEAK
camara,camara,GET,/accesses/{accessId}/devices,listDevices,"Read a paged list of devices with information included in the access, optionally filtered for a given device and/or for a given device status",r,1,r,method,,ok
camara,camara,POST,/accesses/{accessId}/devices/add,addDevicesToAccess,Add devices to the access,x,3,x,floor,,ok
camara,camara,POST,/accesses/{accessId}/devices/remove,removeDevicesFromAccess,Remove devices from the access,x,3,x,floor,,ok
camara,camara,POST,/retrieve-service-areas,retrieveNetworkServiceAreas,"Retrieve network service areas, filtered by additional search criteria",r,1,r,read-verb,,ok
camara,camara,GET,/areas/{areaId},readNetworkServiceArea,Read a network service area,r,1,r,method,,ok
camara,camara,GET,/profiles,readNetworkProfiles,Read dedicated network profiles,r,1,r,method,,ok
camara,camara,GET,/profiles/{profileId},readNetworkProfile,Read a dedicated network profile,r,1,r,method,,ok
camara,camara,GET,/networks,listNetworks,Get a paged list of dedicated networks,r,1,r,method,,ok
camara,camara,POST,/networks,createNetwork,Request to create a dedicated network,x,3,x,floor,,ok
camara,camara,GET,/networks/{networkId},readNetwork,Get the current information about a dedicated network,r,1,r,method,,ok
camara,camara,DELETE,/networks/{networkId},deleteNetwork,Delete a dedicated network,x,2,w,yours-noun,evidence,LEAK
camara,camara,POST,/check-status,checkImeiStatus,Check the register status of a device using its IMEI,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createDeviceDataVolumeSubscription,Create a device data volume event subscription,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveDeviceDataVolumeSubscriptionList,Retrieve a list of device data volume subscriptions,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveDeviceDataVolumeSubscription,Retrieve a device data volume event subscription,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteDeviceDataVolumeSubscription,Delete a device data volume event subscription,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,retrieveDataVolume,Execute device data volume retrieval for a user device,r,1,r,read-verb,,ok
camara,camara,POST,/check,checkDataVolume,Check if the remaining data allowance is above a specified threshold,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve-identifier,retrieveIdentifier,Get details about the specific device being used by a given mobile subscriber,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve-type,retrieveType,Get details about the type of device being used by a given mobile subscriber,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve-ppid,retrievePpid,Get a pseudonymous identifier for device being used by a given mobile subscriber,r,1,r,read-verb,,ok
camara,camara,POST,/match-identifier,matchIdentifier,Check if a provided device identifier matches the one associated with the subscription,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createGeofencingSubscription,Create a geofencing subscription for a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveGeofencingSubscriptionList,Retrieve a list of geofencing event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveGeofencingSubscription,Operation to retrieve a subscription based on the provided ID,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteGeofencingSubscription,Delete a Geofencing event subscription,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,retrieveLocation,Execute location retrieval for a user device,r,1,r,read-verb,,ok
camara,camara,POST,/verify,verifyLocation,Verify the location of a device,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve-maximum-downstream-media-rate,retrieveMaximumDownstreamMediaRate,Get maximum downstream media streaming rate,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createDeviceReachabilityStatusSubscription,Create a device reachability status event subscription for a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveDeviceReachabilityStatusSubscriptionList,Retrieve a list of device reachability status event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveDeviceReachabilityStatusSubscription,Retrieve a device reachability status event subscription for a device,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteDeviceReachabilityStatusSubscription,Delete a device reachability status event subscription for a device,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,getReachabilityStatus,Get the current reachability status information,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createDeviceRoamingStatusSubscription,Create a device roaming status event subscription for a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveDeviceRoamingStatusSubscriptionList,Retrieve a list of device roaming status event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveDeviceRoamingStatusSubscription,Retrieve a roaming status event subscription for a device,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteDeviceRoamingStatusSubscription,Delete a device-roaming-status event subscription for a device,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,getRoamingStatus,Get the current roaming status and the country information,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createConnectedNetworkTypeSubscription,Create a subscription for receiving notifications on changes to the connected network type of a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveConnectedNetworkTypeSubscriptionList,Retrieve a list of device connected network type event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveConnectedNetworkTypeSubscription,Retrieve a device connected network type event subscription for a device,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,getConnectedNetworkType,Get the connected network type,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createDeviceReachabilityStatusSubscription,Create a device reachability status event subscription for a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveDeviceReachabilityStatusSubscriptionList,Retrieve a list of device reachability status event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveDeviceReachabilityStatusSubscription,Retrieve a device reachability status event subscription for a device,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteDeviceReachabilityStatusSubscription,Delete a device reachability status event subscription for a device,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,getReachabilityStatus,Get the current reachability status information,r,1,r,read-verb,,ok
camara,camara,POST,/subscriptions,createDeviceRoamingStatusSubscription,Create a device roaming status event subscription for a device,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,retrieveDeviceRoamingStatusSubscriptionList,Retrieve a list of device roaming status event subscription,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},retrieveDeviceRoamingStatusSubscription,Retrieve a roaming status event subscription for a device,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteDeviceRoamingStatusSubscription,Delete a device-roaming-status event subscription for a device,w,2,w,floor,x-pile,ok
camara,camara,POST,/retrieve,getRoamingStatus,Get the current roaming status and the country information,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve-date,retrieveDeviceSwapDate,Get last device swap date,r,1,r,read-verb,,ok
camara,camara,POST,/check,checkDeviceSwap,Check last device swap date,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve,retrieveDeviceVisitLocation,Retrieves device visit location information,r,1,r,read-verb,,ok
camara,camara,POST,/apps,submitApp,Submit application metadata to the Edge Cloud Provider.,x,3,x,floor,,ok
camara,camara,GET,/apps,getApps,Retrieve a list of existing Applications,r,1,r,method,,ok
camara,camara,GET,/apps/{appId},getApp,Retrieve the information of an Application,r,1,r,method,,ok
camara,camara,DELETE,/apps/{appId},deleteApp,Delete an Application from an Edge Cloud Provider,w,2,w,floor,x-pile,ok
camara,camara,POST,/app-instances,createAppInstance,Instantiation of an Application,x,3,x,floor,,ok
camara,camara,GET,/app-instances,getAppInstances,Retrieve the information of Application Instances for a given App,r,1,r,method,,ok
camara,camara,GET,/app-instances/{appInstanceId},getAppInstance,Retrieve the information of an Application Instance,r,1,r,method,,ok
camara,camara,DELETE,/app-instances/{appInstanceId},deleteAppInstance,Terminate an Application Instance,w,3,x,live-verb,,FALSE-ALARM
camara,camara,POST,/deployments,createAppDeployment,Deploy an Application,x,3,x,floor,,ok
camara,camara,GET,/deployments,getAppDeployments,Retrieve a list of Application Deployment for a given App,r,1,r,method,,ok
camara,camara,GET,/deployments/{appDeploymentId},getAppDeployment,Retrieve the information of an Application Deployment,r,1,r,method,,ok
camara,camara,DELETE,/deployments/{appDeploymentId},deleteAppDeployment,Terminate an Application Deployment,w,3,x,live-verb,,FALSE-ALARM
camara,camara,PATCH,/deployments/{appDeploymentId},updateAppDeployment,Update an Application Deployment,w,2,w,floor,x-pile,ok
camara,camara,GET,/edge-cloud-zones,getEdgeCloudZones,Retrieve a paginated list of the provider's Edge Cloud Zones,r,1,r,method,,ok
camara,camara,POST,/calculate-energy-consumption,calculateEnergyConsumption,Provides the overall Energy Consumption for the target Application instances in a certain period of time.,x,3,x,floor,,ok
camara,camara,POST,/calculate-carbon-footprint,calculateCarbonFootprint,Retrieves the overall carbon footprint for the target Application instances in a certain period of time.,x,3,x,floor,,ok
camara,camara,POST,/high-throughput-elastic-network/transmission/schedule,scheduleTransmission,Submit high-throughput data transmission scheduling request,x,3,x,floor,,ok
camara,camara,GET,/v1/devices,listDevices,Get all connected devices,r,1,r,method,,ok
camara,camara,GET,/v1/devices/{deviceId},getDevice,Get device details,r,1,r,method,,ok
camara,camara,PATCH,/v1/devices/{deviceId},updateDevice,Update device information,x,2,w,yours-noun,evidence,LEAK
camara,camara,DELETE,/v1/devices/{deviceId},deleteDevice,Delete device record,x,2,w,yours-noun,evidence,LEAK
camara,camara,POST,/v1/devices/{deviceId}/actions/{actionId},performDeviceAction,Perform action on device,x,3,x,floor,,ok
camara,camara,GET,/v1/devices/{deviceId}/network-health,getDeviceNetworkHealth,Get device network health,r,1,r,method,,ok
camara,camara,POST,/download,downloadEsimProfile,Download eSIM Profile to device,x,3,x,floor,,ok
camara,camara,POST,/enable,enableEsimProfile,Enable eSIM Profile,x,3,x,floor,,ok
camara,camara,POST,/disable,disableEsimProfile,Disable eSIM Profile,x,3,x,floor,,ok
camara,camara,POST,/delete,deleteEsimProfile,Delete eSIM Profile,x,3,x,floor,,ok
camara,camara,POST,/set-fallback,setFallbackEsimProfile,Set fallback eSIM Profile,x,3,x,floor,,ok
camara,camara,POST,/retrieve-status,getEsimProfileStatus,Retrieve eSIM Profile status,r,1,r,read-verb,,ok
camara,camara,GET,/operations/{operationId},retrieveOperation,Retrieve operation information,r,1,r,method,,ok
camara,camara,POST,/features/power-saving,activatePowerSaving,Activate or de-activate power-saving features for IoT devices,x,3,x,floor,,ok
camara,camara,GET,/features/power-saving/transactions/{transactionId},getPowerSaving,Get status of a transaction for power-saving features,r,1,r,method,,ok
camara,camara,POST,/subscriptions,subscribeFraudPrevention,Subscribe to IMEI or area change events,x,3,x,floor,,ok
camara,camara,GET,/subscriptions,listSubscriptions,List subscriptions,r,1,r,method,,ok
camara,camara,GET,/subscriptions/{subscriptionId},getSubscription,Get subscription details,r,1,r,method,,ok
camara,camara,DELETE,/subscriptions/{subscriptionId},deleteSubscription,Delete subscription,w,2,w,floor,x-pile,ok
camara,camara,POST,/bind,bindDeviceImei,Bind device IMEI or area restrictions,x,3,x,floor,,ok
camara,camara,POST,/unbind,unBindDeviceImei,Unbind device IMEI or area restrictions,x,3,x,floor,,ok
camara,camara,POST,/query,query,IoT SIM Fraud Prevention Query,r,1,r,read-verb,,ok
camara,camara,POST,/verify,verifyAge,Verify Age Threshold,r,1,r,read-verb,,ok
camara,camara,POST,/fill-in,KYC_Fill-in,Providing information related to a customer identity stored the account data bound to the customer's phone number.,r,3,x,floor,,OVER-TIGHT
camara,camara,POST,/match,KYC_Match,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,r,3,x,floor,,OVER-TIGHT
camara,camara,POST,/verify,verifyAge,Verify Age Threshold,r,1,r,read-verb,,ok
camara,camara,POST,/fill-in,kycFillin,Providing information related to a customer identity stored the account data bound to the customer's phone number.,r,3,x,floor,,OVER-TIGHT
camara,camara,POST,/match,kycMatch,Matching a customer identity by checking a set of attributes related against the account data bound to their phone number.,r,3,x,floor,,OVER-TIGHT
camara,camara,POST,/knowledge-bases,createKnowledgeBase,Create a new knowledge base,x,3,x,floor,,ok
camara,camara,GET,/knowledge-bases,listKnowledgeBases,Get all knowledge bases,r,1,r,method,,ok
camara,camara,GET,/knowledge-bases/{knowledgeBaseId},getKnowledgeBase,Get a specific knowledge base,r,1,r,method,,ok
camara,camara,PUT,/knowledge-bases/{knowledgeBaseId},updateKnowledgeBase,Update a knowledge base,w,2,w,floor,x-pile,ok
camara,camara,DELETE,/knowledge-bases/{knowledgeBaseId},deleteKnowledgeBase,Delete a knowledge base,w,2,w,floor,x-pile,ok
camara,camara,POST,/knowledge-bases/{knowledgeBaseId}/documents,uploadDocument,Upload a document to a knowledge base,x,3,x,floor,,ok
camara,camara,GET,/knowledge-bases/{knowledgeBaseId}/documents/{documentId},getDocument,Get a specific document,r,1,r,method,,ok
camara,camara,DELETE,/knowledge-bases/{knowledgeBaseId}/documents/{documentId},deleteDocument,Delete a document,w,2,w,yours-noun,evidence,ok
camara,camara,POST,/knowledge-bases/{knowledgeBaseId}/tools,createTool,Register a new tool,x,3,x,floor,,ok
camara,camara,GET,/knowledge-bases/{knowledgeBaseId}/tools,listTools,List all tools in a knowledge base,r,1,r,method,,ok
camara,camara,GET,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},getTool,Get a specific tool,r,1,r,method,,ok
camara,camara,PUT,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},updateTool,Update a tool,w,2,w,floor,x-pile,ok
camara,camara,DELETE,/knowledge-bases/{knowledgeBaseId}/tools/{toolId},deleteTool,Delete a tool,w,2,w,floor,x-pile,ok
camara,camara,POST,/knowledge-bases/{knowledgeBaseId}/tools/{toolId}/call,callTool,Invoke a tool,x,3,x,floor,,ok
camara,camara,POST,/assistants,createAssistant,Create a new QA assistant,x,3,x,floor,,ok
camara,camara,GET,/assistants,listAssistants,List all QA assistants,r,1,r,method,,ok
camara,camara,GET,/assistants/{assistantId},getAssistant,Get a specific QA assistant,r,1,r,method,,ok
camara,camara,PUT,/assistants/{assistantId},updateAssistant,Update a QA assistant,w,2,w,floor,x-pile,ok
camara,camara,DELETE,/assistants/{assistantId},deleteAssistant,Delete a QA assistant,w,2,w,floor,x-pile,ok
camara,camara,POST,/answer,queryAssistant,Get an answer from a QA assistant,r,1,r,read-verb,,ok
camara,camara,POST,/verify,verifyFrequentLocation,Verify the most frequent location of a device,r,1,r,read-verb,,ok
camara,camara,POST,/networks,createNetwork,To create a multipoint virtual private network,x,3,x,floor,,ok
camara,camara,PATCH,/networks/{serviceId},updateNetwork,To update a multipoint virtual private network,w,2,w,yours-noun,evidence,ok
camara,camara,GET,/networks/{serviceId},getNetwork,retrieve multipoint virtual private network details,r,1,r,method,,ok
camara,camara,DELETE,/networks/{serviceId},deleteNetwork,Delete multipoint virtual private network,w,2,w,yours-noun,evidence,ok
camara,camara,POST,/assessment,assessConnectionFeasibility,Assess Multipoint VPN connection feasibility,r,1,r,read-verb,,ok
camara,camara,GET,/network-access-devices,getNetworkAccessDevices,Get all Network Access Devices associated with the service owner,r,1,r,method,,ok
camara,camara,GET,/network-access-devices/{networkAccessDeviceId},getNetworkAccessDevice,Get a specific Network Access Device,r,1,r,method,,ok
camara,camara,POST,/reboot-requests,createRebootRequest,Create a new Reboot Request,x,3,x,floor,,ok
camara,camara,GET,/reboot-requests,getRebootRequests,Get all Reboot Requests created by the calling API client,r,1,r,method,,ok
camara,camara,GET,/reboot-requests/{rebootRequestId},getRebootRequest,Get a specific Reboot Request,r,1,r,method,,ok
camara,camara,PATCH,/reboot-requests/{rebootRequestId},updateRebootRequest,Update an existing Reboot Request,x,3,x,live-verb,,ok
camara,camara,DELETE,/reboot-requests/{rebootRequestId},deleteRebootRequest,Delete an existing Reboot Request,w,3,x,live-verb,,FALSE-ALARM
camara,camara,GET,/services,getServices,Get all services accessible to the authenticated identity,r,1,r,method,,ok
camara,camara,GET,/services/{serviceId},getService,Get a service by ID,r,1,r,method,,ok
camara,camara,GET,/trust-domains/capabilities,getTrustDomainCapabilities,Get Trust Domain capabilities,r,1,r,method,,ok
camara,camara,POST,/trust-domains,createTrustDomain,Create a new Trust Domain,w,3,x,floor,,FALSE-ALARM
camara,camara,GET,/trust-domains,getTrustDomains,Retrieves all Trust Domains visible to the calling API client,r,1,r,method,,ok
camara,camara,GET,/trust-domains/{trustDomainId},getTrustDomain,Get a specific Trust Domain,r,1,r,method,,ok
camara,camara,PATCH,/trust-domains/{trustDomainId},updateTrustDomain,Update a specific Trust Domain,w,2,w,floor,x-pile,ok
camara,camara,DELETE,/trust-domains/{trustDomainId},deleteTrustDomain,Delete a specific Trust Domain,w,2,w,floor,x-pile,ok
camara,camara,POST,/trust-domains/{trustDomainId}/devices,createTrustDomainDevice,Register a new device to a Trust Domain,x,3,x,floor,,ok
camara,camara,GET,/trust-domains/{trustDomainId}/devices,getTrustDomainDevices,List all devices registered to a Trust Domain,r,1,r,method,,ok
camara,camara,GET,/trust-domains/{trustDomainId}/devices/{deviceId},getTrustDomainDevice,Get a specific device in a Trust Domain,r,1,r,method,,ok
camara,camara,PATCH,/trust-domains/{trustDomainId}/devices/{deviceId},updateTrustDomainDevice,Update a device in a Trust Domain,w,2,w,floor,x-pile,ok
camara,camara,DELETE,/trust-domains/{trustDomainId}/devices/{deviceId},deleteTrustDomainDevice,Remove a device from a Trust Domain,w,2,w,floor,x-pile,ok
camara,camara,GET,/health-scores,getHealthScores,Query the latest network health score,r,1,r,method,,ok
camara,camara,GET,/traffic-analysis,getTrafficAnalysis,Get network traffic analysis,r,1,r,method,,ok
camara,camara,POST,/slices/{sliceId}/devices,assignDevice,Assign a device to a network slice,x,3,x,floor,,ok
camara,camara,GET,/slices/{sliceId}/devices,getDevices,Get devices assigned to a network slice,r,1,r,method,,ok
camara,camara,POST,/slices/{sliceId}/release,releaseDevice,Release a device from an existing network slice,x,3,x,floor,,ok
camara,camara,POST,/retrieve-slices,retrieveSlicesByDevice,Retrieve all network slices by device,r,1,r,read-verb,,ok
camara,camara,POST,/slices,createSlice,Creates a new network slice,x,3,x,floor,,ok
camara,camara,DELETE,/slices/{sliceId},deleteSlice,Delete a network slice,w,2,w,floor,x-pile,ok
camara,camara,GET,/slices/{sliceId},getSlice,Get network slcie booking information,r,1,r,method,,ok
camara,camara,POST,/check,checkNumberRecycling,Check whether the subscriber of the phone number has changed.,r,1,r,read-verb,,ok
camara,camara,POST,/verify,phoneNumberVerify,Verifies if the received hashed/plain text phone number matches the phone number associated with the access token,r,3,x,floor,,OVER-TIGHT
camara,camara,GET,/device-phone-number,phoneNumberShare,Returns the phone number associated with the access token,r,1,r,method,,ok
camara,camara,POST,/send-code,sendCode,Sends a message including an OTP code to the given phone number,x,3,x,floor,,ok
camara,camara,POST,/validate-code,validateCode,Verifies the OTP received as input,w,3,x,floor,,FALSE-ALARM
camara,camara,GET,/regions,getRegions,Fetch all Regions,r,1,r,method,,ok
camara,camara,POST,/retrieve-optimal-edge-cloud-zones,discoverOptimalEdge,Discover optimal edge cloud zones for deployed applications,r,3,x,floor,,OVER-TIGHT
camara,camara,POST,/retrieve,retrievePopulationDensity,Retrieves population density information in a specified area,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve,retrieveConnectivity,Obtain connectivity information in the specified area,r,1,r,read-verb,,ok
camara,camara,POST,/qos-bookings,createBooking,This operation reserves required QoS in advance up to a certain number of devices in certain serviceArea and time slot. The devices have to be attached with a s,x,3,x,floor,,ok
camara,camara,GET,/qos-bookings/{bookingId},getBookingById,Get the Booking information for a given QoS Booking identified by `bookingId`.,r,1,r,method,,ok
camara,camara,DELETE,/qos-bookings/{bookingId},deleteBooking,This operation cancels an existing QoS Booking and release the associated resources.,w,3,x,other-noun,,FALSE-ALARM
camara,camara,POST,/qos-bookings/{bookingId}/devices/assign,assignDevices,Assign one or more devices to an existing QoS Booking identified by `bookingId`,x,3,x,floor,,ok
camara,camara,GET,/qos-bookings/{bookingId}/devices,getDevicesByBookingId,Get the list of devices assigned to an existing QoS Booking,r,1,r,method,,ok
camara,camara,POST,/qos-bookings/{bookingId}/devices/release,releaseDevices,Release one or more devices from the given QoS Booking,x,3,x,floor,,ok
camara,camara,POST,/qos-bookings/retrieve,retrieveBookingByDevice,Retrieves all the bookings that corresponds to a device,r,1,r,read-verb,,ok
camara,camara,POST,/device-qos-bookings,createBooking,Sets a new booking of QoS for a device,x,3,x,floor,,ok
camara,camara,GET,/device-qos-bookings/{bookingId},getBookingById,Get QoS Booking information,r,1,r,method,,ok
camara,camara,DELETE,/device-qos-bookings/{bookingId},deleteBooking,Deletes a QoS Booking,w,3,x,other-noun,,FALSE-ALARM
camara,camara,POST,/retrieve-device-qos-bookings,retrieveBookingByDevice,Gets the QoS Booking for a device,r,1,r,read-verb,,ok
camara,camara,POST,/retrieve-qos-profiles,retrieveQosProfiles,Retrieve QoS profiles,r,1,r,read-verb,,ok
camara,camara,GET,/qos-profiles/{name},getQosProfile,Get QoS Profile for a given name,r,1,r,method,,ok
camara,camara,POST,/qos-assignments,createQosAssignment,Triggers the provisioning process for the assignment of a QoS profile to a device,x,3,x,floor,,ok
camara,camara,GET,/qos-assignments/{assignmentId},getQosAssignmentById,Get the QoS profile assignment information identified by an assignment record ID,r,1,r,method,,ok
camara,camara,DELETE,/qos-assignments/{assignmentId},revokeQosAssignment,Revokes a QoS profile assignment identified by an assignment record ID,w,3,x,live-verb,,FALSE-ALARM
