provider,method,path,operationId,summary,class,step,rule,flag
stripe,POST,/v1/billing/credit_grants/{id},PostBillingCreditGrantsId,Update a credit grant,x,3,floor,
stripe,POST,/v1/billing/credit_grants/{id}/expire,PostBillingCreditGrantsIdExpire,Expire a credit grant,x,3,floor,
stripe,POST,/v1/billing/credit_grants/{id}/void,PostBillingCreditGrantsIdVoid,Void a credit grant,x,3,floor,
stripe,GET,/v1/billing/feedback_options,GetBillingFeedbackOptions,Feedback Options List API Method,r,1,method,
stripe,POST,/v1/billing/feedback_options,PostBillingFeedbackOptions,Create a feedback option,x,3,floor,
stripe,GET,/v1/billing/feedback_options/{id},GetBillingFeedbackOptionsId,Retrieve a feedback option,r,1,method,
stripe,POST,/v1/billing/feedback_options/{id},PostBillingFeedbackOptionsId,Update a feedback option,x,3,floor,
stripe,POST,/v1/billing/feedback_options/{id}/deactivate,PostBillingFeedbackOptionsIdDeactivate,Deactivate a feedback option,x,3,floor,
stripe,POST,/v1/billing/meter_event_adjustments,PostBillingMeterEventAdjustments,Create a billing meter event adjustment,x,3,floor,
stripe,POST,/v1/billing/meter_events,PostBillingMeterEvents,Create a billing meter event,x,3,floor,
stripe,GET,/v1/billing/meters,GetBillingMeters,List billing meters,r,1,method,
stripe,POST,/v1/billing/meters,PostBillingMeters,Create a billing meter,x,3,floor,
stripe,GET,/v1/billing/meters/{id},GetBillingMetersId,Retrieve a billing meter,r,1,method,
stripe,POST,/v1/billing/meters/{id},PostBillingMetersId,Update a billing meter,x,3,floor,
stripe,POST,/v1/billing/meters/{id}/deactivate,PostBillingMetersIdDeactivate,Deactivate a billing meter,x,3,floor,
stripe,GET,/v1/billing/meters/{id}/event_summaries,GetBillingMetersIdEventSummaries,List billing meter event summaries,r,1,method,
stripe,POST,/v1/billing/meters/{id}/reactivate,PostBillingMetersIdReactivate,Reactivate a billing meter,x,3,floor,
stripe,GET,/v1/billing_portal/configurations,GetBillingPortalConfigurations,List portal configurations,r,1,method,
stripe,POST,/v1/billing_portal/configurations,PostBillingPortalConfigurations,Create a portal configuration,x,3,floor,
stripe,GET,/v1/billing_portal/configurations/{configuration},GetBillingPortalConfigurationsConfiguration,Retrieve a portal configuration,r,1,method,
stripe,POST,/v1/billing_portal/configurations/{configuration},PostBillingPortalConfigurationsConfiguration,Update a portal configuration,x,3,floor,
stripe,POST,/v1/billing_portal/sessions,PostBillingPortalSessions,Create a portal session,x,3,floor,
stripe,GET,/v1/charges,GetCharges,List all charges,r,1,method,
stripe,POST,/v1/charges,PostCharges,Create a charge,x,3,floor,
stripe,GET,/v1/charges/search,GetChargesSearch,Search charges,r,1,method,
stripe,GET,/v1/charges/{charge},GetChargesCharge,Retrieve a charge,r,1,method,
stripe,POST,/v1/charges/{charge},PostChargesCharge,Update a charge,x,3,floor,
stripe,POST,/v1/charges/{charge}/capture,PostChargesChargeCapture,Capture a charge,x,3,floor,
stripe,GET,/v1/charges/{charge}/dispute,GetChargesChargeDispute,,r,1,method,
stripe,POST,/v1/charges/{charge}/dispute,PostChargesChargeDispute,,x,3,floor,
stripe,POST,/v1/charges/{charge}/dispute/close,PostChargesChargeDisputeClose,,x,3,floor,
stripe,POST,/v1/charges/{charge}/refund,PostChargesChargeRefund,Create a refund,x,3,floor,
stripe,GET,/v1/charges/{charge}/refunds,GetChargesChargeRefunds,List all refunds,r,1,method,
stripe,POST,/v1/charges/{charge}/refunds,PostChargesChargeRefunds,Create a refund,x,3,floor,
stripe,GET,/v1/charges/{charge}/refunds/{refund},GetChargesChargeRefundsRefund,,r,1,method,
stripe,POST,/v1/charges/{charge}/refunds/{refund},PostChargesChargeRefundsRefund,,x,3,floor,
stripe,GET,/v1/checkout/sessions,GetCheckoutSessions,List all Checkout Sessions,r,1,method,
stripe,POST,/v1/checkout/sessions,PostCheckoutSessions,Create a Checkout Session,x,3,floor,
stripe,GET,/v1/checkout/sessions/{session},GetCheckoutSessionsSession,Retrieve a Checkout Session,r,1,method,
stripe,POST,/v1/checkout/sessions/{session},PostCheckoutSessionsSession,Update a Checkout Session,x,3,floor,
stripe,POST,/v1/checkout/sessions/{session}/expire,PostCheckoutSessionsSessionExpire,Expire a Checkout Session,x,3,floor,
stripe,GET,/v1/checkout/sessions/{session}/line_items,GetCheckoutSessionsSessionLineItems,Retrieve a Checkout Session's line items,r,1,method,
stripe,GET,/v1/climate/orders,GetClimateOrders,List orders,r,1,method,
stripe,POST,/v1/climate/orders,PostClimateOrders,Create an order,x,3,floor,
stripe,GET,/v1/climate/orders/{order},GetClimateOrdersOrder,Retrieve an order,r,1,method,
stripe,POST,/v1/climate/orders/{order},PostClimateOrdersOrder,Update an order,x,3,floor,
stripe,POST,/v1/climate/orders/{order}/cancel,PostClimateOrdersOrderCancel,Cancel an order,x,3,floor,
stripe,GET,/v1/climate/products,GetClimateProducts,List products,r,1,method,
stripe,GET,/v1/climate/products/{product},GetClimateProductsProduct,Retrieve a product,r,1,method,
stripe,GET,/v1/climate/suppliers,GetClimateSuppliers,List suppliers,r,1,method,
stripe,GET,/v1/climate/suppliers/{supplier},GetClimateSuppliersSupplier,Retrieve a supplier,r,1,method,
stripe,GET,/v1/confirmation_tokens/{confirmation_token},GetConfirmationTokensConfirmationToken,Retrieve a ConfirmationToken,r,1,method,
stripe,GET,/v1/country_specs,GetCountrySpecs,List Country Specs,r,1,method,
stripe,GET,/v1/country_specs/{country},GetCountrySpecsCountry,Retrieve a Country Spec,r,1,method,
stripe,GET,/v1/coupons,GetCoupons,List all coupons,r,1,method,
stripe,POST,/v1/coupons,PostCoupons,Create a coupon,x,3,floor,
stripe,GET,/v1/coupons/{coupon},GetCouponsCoupon,Retrieve a coupon,r,1,method,
stripe,POST,/v1/coupons/{coupon},PostCouponsCoupon,Update a coupon,x,3,floor,
stripe,DELETE,/v1/coupons/{coupon},DeleteCouponsCoupon,Delete a coupon,w,2,yours-noun,evidence
stripe,GET,/v1/credit_notes,GetCreditNotes,List all credit notes,r,1,method,
stripe,POST,/v1/credit_notes,PostCreditNotes,Create a credit note,x,3,floor,
stripe,GET,/v1/credit_notes/preview,GetCreditNotesPreview,Preview a credit note,r,1,method,
stripe,GET,/v1/credit_notes/preview/lines,GetCreditNotesPreviewLines,Retrieve a credit note preview's line items,r,1,method,
stripe,GET,/v1/credit_notes/{credit_note}/lines,GetCreditNotesCreditNoteLines,Retrieve a credit note's line items,r,1,method,
stripe,GET,/v1/credit_notes/{id},GetCreditNotesId,Retrieve a credit note,r,1,method,
stripe,POST,/v1/credit_notes/{id},PostCreditNotesId,Update a credit note,x,3,floor,
stripe,POST,/v1/credit_notes/{id}/void,PostCreditNotesIdVoid,Void a credit note,x,3,floor,
stripe,POST,/v1/customer_sessions,PostCustomerSessions,Create a Customer Session,x,3,floor,
stripe,GET,/v1/customers,GetCustomers,List all customers,r,1,method,
stripe,POST,/v1/customers,PostCustomers,Create a customer,x,3,floor,
stripe,GET,/v1/customers/search,GetCustomersSearch,Search customers,r,1,method,
stripe,GET,/v1/customers/{customer},GetCustomersCustomer,Retrieve a customer,r,1,method,
stripe,POST,/v1/customers/{customer},PostCustomersCustomer,Update a customer,x,3,floor,
stripe,DELETE,/v1/customers/{customer},DeleteCustomersCustomer,Delete a customer,w,2,yours-noun,evidence
stripe,GET,/v1/customers/{customer}/balance_transactions,GetCustomersCustomerBalanceTransactions,List customer balance transactions,r,1,method,
stripe,POST,/v1/customers/{customer}/balance_transactions,PostCustomersCustomerBalanceTransactions,Create a customer balance transaction,x,3,floor,
stripe,GET,/v1/customers/{customer}/balance_transactions/{transaction},GetCustomersCustomerBalanceTransactionsTransaction,Retrieve a customer balance transaction,r,1,method,
stripe,POST,/v1/customers/{customer}/balance_transactions/{transaction},PostCustomersCustomerBalanceTransactionsTransaction,Update a customer credit balance transaction,x,3,floor,
stripe,GET,/v1/customers/{customer}/bank_accounts,GetCustomersCustomerBankAccounts,List all bank accounts,r,1,method,
stripe,POST,/v1/customers/{customer}/bank_accounts,PostCustomersCustomerBankAccounts,Create a card,x,3,floor,
stripe,GET,/v1/customers/{customer}/bank_accounts/{id},GetCustomersCustomerBankAccountsId,Retrieve a bank account,r,1,method,
stripe,POST,/v1/customers/{customer}/bank_accounts/{id},PostCustomersCustomerBankAccountsId,Update a card,x,3,floor,
stripe,DELETE,/v1/customers/{customer}/bank_accounts/{id},DeleteCustomersCustomerBankAccountsId,Delete a customer source,w,2,floor,x-pile
stripe,POST,/v1/customers/{customer}/bank_accounts/{id}/verify,PostCustomersCustomerBankAccountsIdVerify,Verify a bank account,x,3,floor,
stripe,GET,/v1/customers/{customer}/cards,GetCustomersCustomerCards,List all cards,r,1,method,
stripe,POST,/v1/customers/{customer}/cards,PostCustomersCustomerCards,Create a card,x,3,floor,
stripe,GET,/v1/customers/{customer}/cards/{id},GetCustomersCustomerCardsId,Retrieve a card,r,1,method,
stripe,POST,/v1/customers/{customer}/cards/{id},PostCustomersCustomerCardsId,Update a card,x,3,floor,
stripe,DELETE,/v1/customers/{customer}/cards/{id},DeleteCustomersCustomerCardsId,Delete a customer source,w,2,yours-noun,evidence
stripe,GET,/v1/customers/{customer}/cash_balance,GetCustomersCustomerCashBalance,Retrieve a cash balance,r,1,method,
stripe,POST,/v1/customers/{customer}/cash_balance,PostCustomersCustomerCashBalance,Update a cash balance's settings,x,3,floor,
stripe,GET,/v1/customers/{customer}/cash_balance_transactions,GetCustomersCustomerCashBalanceTransactions,List cash balance transactions,r,1,method,
stripe,GET,/v1/customers/{customer}/cash_balance_transactions/{transaction},GetCustomersCustomerCashBalanceTransactionsTransaction,Retrieve a cash balance transaction,r,1,method,
stripe,GET,/v1/customers/{customer}/discount,GetCustomersCustomerDiscount,,r,1,method,
stripe,DELETE,/v1/customers/{customer}/discount,DeleteCustomersCustomerDiscount,Delete a customer discount,w,2,yours-noun,evidence
stripe,POST,/v1/customers/{customer}/funding_instructions,PostCustomersCustomerFundingInstructions,Create or retrieve funding instructions for a customer cash balance,x,3,floor,
stripe,GET,/v1/customers/{customer}/payment_methods,GetCustomersCustomerPaymentMethods,List a Customer's PaymentMethods,r,1,method,
stripe,GET,/v1/customers/{customer}/payment_methods/{payment_method},GetCustomersCustomerPaymentMethodsPaymentMethod,Retrieve a Customer's PaymentMethod,r,1,method,
stripe,GET,/v1/customers/{customer}/sources,GetCustomersCustomerSources,,r,1,method,
stripe,POST,/v1/customers/{customer}/sources,PostCustomersCustomerSources,Create a card,x,3,floor,
stripe,GET,/v1/customers/{customer}/sources/{id},GetCustomersCustomerSourcesId,,r,1,method,
stripe,POST,/v1/customers/{customer}/sources/{id},PostCustomersCustomerSourcesId,Update a card,x,3,floor,
stripe,DELETE,/v1/customers/{customer}/sources/{id},DeleteCustomersCustomerSourcesId,Delete a customer source,w,2,yours-noun,evidence
stripe,POST,/v1/customers/{customer}/sources/{id}/verify,PostCustomersCustomerSourcesIdVerify,Verify a bank account,x,3,floor,
stripe,GET,/v1/customers/{customer}/subscriptions,GetCustomersCustomerSubscriptions,List active subscriptions,r,1,method,
stripe,POST,/v1/customers/{customer}/subscriptions,PostCustomersCustomerSubscriptions,Create a subscription,x,3,floor,
stripe,GET,/v1/customers/{customer}/subscriptions/{subscription_exposed_id},GetCustomersCustomerSubscriptionsSubscriptionExposedId,Retrieve a subscription,r,1,method,
stripe,POST,/v1/customers/{customer}/subscriptions/{subscription_exposed_id},PostCustomersCustomerSubscriptionsSubscriptionExposedId,Update a subscription on a customer,x,3,floor,
stripe,DELETE,/v1/customers/{customer}/subscriptions/{subscription_exposed_id},DeleteCustomersCustomerSubscriptionsSubscriptionExposedId,Cancel a subscription,x,3,live-verb,
stripe,GET,/v1/customers/{customer}/subscriptions/{subscription_exposed_id}/discount,GetCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount,,r,1,method,
stripe,DELETE,/v1/customers/{customer}/subscriptions/{subscription_exposed_id}/discount,DeleteCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount,Delete a customer discount,w,2,floor,x-pile
stripe,GET,/v1/customers/{customer}/tax_ids,GetCustomersCustomerTaxIds,List all Customer tax IDs,r,1,method,
stripe,POST,/v1/customers/{customer}/tax_ids,PostCustomersCustomerTaxIds,Create a Customer tax ID,x,3,floor,
stripe,GET,/v1/customers/{customer}/tax_ids/{id},GetCustomersCustomerTaxIdsId,Retrieve a Customer tax ID,r,1,method,
stripe,DELETE,/v1/customers/{customer}/tax_ids/{id},DeleteCustomersCustomerTaxIdsId,Delete a Customer tax ID,w,2,yours-noun,evidence
stripe,GET,/v1/disputes,GetDisputes,List all disputes,r,1,method,
stripe,GET,/v1/disputes/{dispute},GetDisputesDispute,Retrieve a dispute,r,1,method,
stripe,POST,/v1/disputes/{dispute},PostDisputesDispute,Update a dispute,x,3,floor,
stripe,POST,/v1/disputes/{dispute}/close,PostDisputesDisputeClose,Close a dispute,x,3,floor,
stripe,GET,/v1/entitlements/active_entitlements,GetEntitlementsActiveEntitlements,List all active entitlements,r,1,method,
stripe,GET,/v1/entitlements/active_entitlements/{id},GetEntitlementsActiveEntitlementsId,Retrieve an active entitlement,r,1,method,
stripe,GET,/v1/entitlements/features,GetEntitlementsFeatures,List all features,r,1,method,
stripe,POST,/v1/entitlements/features,PostEntitlementsFeatures,Create a feature,x,3,floor,
stripe,GET,/v1/entitlements/features/{id},GetEntitlementsFeaturesId,Retrieve a feature,r,1,method,
stripe,POST,/v1/entitlements/features/{id},PostEntitlementsFeaturesId,Updates a feature,x,3,floor,
stripe,POST,/v1/ephemeral_keys,PostEphemeralKeys,Create an ephemeral key,x,3,floor,
stripe,DELETE,/v1/ephemeral_keys/{key},DeleteEphemeralKeysKey,Immediately invalidate an ephemeral key,w,2,floor,x-pile
stripe,GET,/v1/events,GetEvents,List all events,r,1,method,
stripe,GET,/v1/events/{id},GetEventsId,Retrieve an event,r,1,method,
stripe,GET,/v1/exchange_rates,GetExchangeRates,List all exchange rates,r,1,method,
stripe,GET,/v1/exchange_rates/{rate_id},GetExchangeRatesRateId,Retrieve an exchange rate,r,1,method,
stripe,POST,/v1/external_accounts/{id},PostExternalAccountsId,Update a bank account,x,3,floor,
stripe,GET,/v1/file_links,GetFileLinks,List all file links,r,1,method,
stripe,POST,/v1/file_links,PostFileLinks,Create a file link,x,3,floor,
stripe,GET,/v1/file_links/{link},GetFileLinksLink,Retrieve a file link,r,1,method,
stripe,POST,/v1/file_links/{link},PostFileLinksLink,Update a file link,x,3,floor,
stripe,GET,/v1/files,GetFiles,List all files,r,1,method,
stripe,POST,/v1/files,PostFiles,Create a file,x,3,floor,
stripe,GET,/v1/files/{file},GetFilesFile,Retrieve a file,r,1,method,
stripe,GET,/v1/financial_connections/accounts,GetFinancialConnectionsAccounts,List Accounts,r,1,method,
stripe,GET,/v1/financial_connections/accounts/{account},GetFinancialConnectionsAccountsAccount,Retrieve an Account,r,1,method,
stripe,POST,/v1/financial_connections/accounts/{account}/disconnect,PostFinancialConnectionsAccountsAccountDisconnect,Disconnect an Account,x,3,floor,
stripe,GET,/v1/financial_connections/accounts/{account}/owners,GetFinancialConnectionsAccountsAccountOwners,List Account Owners,r,1,method,
stripe,POST,/v1/financial_connections/accounts/{account}/refresh,PostFinancialConnectionsAccountsAccountRefresh,Refresh Account data,x,3,floor,
stripe,POST,/v1/financial_connections/accounts/{account}/subscribe,PostFinancialConnectionsAccountsAccountSubscribe,Subscribe to data refreshes for an Account,x,3,floor,
stripe,POST,/v1/financial_connections/accounts/{account}/unsubscribe,PostFinancialConnectionsAccountsAccountUnsubscribe,Unsubscribe from data refreshes for an Account,x,3,floor,
stripe,POST,/v1/financial_connections/sessions,PostFinancialConnectionsSessions,Create a Session,x,3,floor,
stripe,GET,/v1/financial_connections/sessions/{session},GetFinancialConnectionsSessionsSession,Retrieve a Session,r,1,method,
stripe,GET,/v1/financial_connections/transactions,GetFinancialConnectionsTransactions,List Transactions,r,1,method,
stripe,GET,/v1/financial_connections/transactions/{transaction},GetFinancialConnectionsTransactionsTransaction,Retrieve a Transaction,r,1,method,
stripe,GET,/v1/forwarding/requests,GetForwardingRequests,List all ForwardingRequests,r,1,method,
stripe,POST,/v1/forwarding/requests,PostForwardingRequests,Create a ForwardingRequest,x,3,floor,
stripe,GET,/v1/forwarding/requests/{id},GetForwardingRequestsId,Retrieve a ForwardingRequest,r,1,method,
stripe,GET,/v1/identity/verification_reports,GetIdentityVerificationReports,List VerificationReports,r,1,method,
stripe,GET,/v1/identity/verification_reports/{report},GetIdentityVerificationReportsReport,Retrieve a VerificationReport,r,1,method,
stripe,GET,/v1/identity/verification_sessions,GetIdentityVerificationSessions,List VerificationSessions,r,1,method,
stripe,POST,/v1/identity/verification_sessions,PostIdentityVerificationSessions,Create a VerificationSession,x,3,floor,
stripe,GET,/v1/identity/verification_sessions/{session},GetIdentityVerificationSessionsSession,Retrieve a VerificationSession,r,1,method,
stripe,POST,/v1/identity/verification_sessions/{session},PostIdentityVerificationSessionsSession,Update a VerificationSession,x,3,floor,
stripe,POST,/v1/identity/verification_sessions/{session}/cancel,PostIdentityVerificationSessionsSessionCancel,Cancel a VerificationSession,x,3,floor,
stripe,POST,/v1/identity/verification_sessions/{session}/redact,PostIdentityVerificationSessionsSessionRedact,Redact a VerificationSession,x,3,floor,
stripe,GET,/v1/invoice_payments,GetInvoicePayments,List all payments for an invoice,r,1,method,
stripe,GET,/v1/invoice_payments/{invoice_payment},GetInvoicePaymentsInvoicePayment,Retrieve an InvoicePayment,r,1,method,
stripe,GET,/v1/invoice_rendering_templates,GetInvoiceRenderingTemplates,List all invoice rendering templates,r,1,method,
stripe,GET,/v1/invoice_rendering_templates/{template},GetInvoiceRenderingTemplatesTemplate,Retrieve an invoice rendering template,r,1,method,
stripe,POST,/v1/invoice_rendering_templates/{template}/archive,PostInvoiceRenderingTemplatesTemplateArchive,Archive an invoice rendering template,x,3,floor,
stripe,POST,/v1/invoice_rendering_templates/{template}/unarchive,PostInvoiceRenderingTemplatesTemplateUnarchive,Unarchive an invoice rendering template,x,3,floor,
stripe,GET,/v1/invoiceitems,GetInvoiceitems,List all invoice items,r,1,method,
stripe,POST,/v1/invoiceitems,PostInvoiceitems,Create an invoice item,x,3,floor,
stripe,GET,/v1/invoiceitems/{invoiceitem},GetInvoiceitemsInvoiceitem,Retrieve an invoice item,r,1,method,
stripe,POST,/v1/invoiceitems/{invoiceitem},PostInvoiceitemsInvoiceitem,Update an invoice item,x,3,floor,
stripe,DELETE,/v1/invoiceitems/{invoiceitem},DeleteInvoiceitemsInvoiceitem,Delete an invoice item,w,2,floor,x-pile
stripe,GET,/v1/invoices,GetInvoices,List all invoices,r,1,method,
stripe,POST,/v1/invoices,PostInvoices,Create an invoice,x,3,floor,
stripe,POST,/v1/invoices/create_preview,PostInvoicesCreatePreview,Create a preview invoice,x,3,floor,
stripe,GET,/v1/invoices/search,GetInvoicesSearch,Search invoices,r,1,method,
stripe,GET,/v1/invoices/{invoice},GetInvoicesInvoice,Retrieve an invoice,r,1,method,
stripe,POST,/v1/invoices/{invoice},PostInvoicesInvoice,Update an invoice,x,3,floor,
stripe,DELETE,/v1/invoices/{invoice},DeleteInvoicesInvoice,Delete a draft invoice,w,2,floor,x-pile
stripe,POST,/v1/invoices/{invoice}/add_lines,PostInvoicesInvoiceAddLines,Bulk add invoice line items,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/attach_payment,PostInvoicesInvoiceAttachPayment,Attach a payment to an Invoice,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/finalize,PostInvoicesInvoiceFinalize,Finalize an invoice,x,3,floor,
stripe,GET,/v1/invoices/{invoice}/lines,GetInvoicesInvoiceLines,Retrieve an invoice's line items,r,1,method,
stripe,POST,/v1/invoices/{invoice}/lines/{line_item_id},PostInvoicesInvoiceLinesLineItemId,Update an invoice's line item,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/mark_uncollectible,PostInvoicesInvoiceMarkUncollectible,Mark an invoice as uncollectible,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/pay,PostInvoicesInvoicePay,Pay an invoice,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/remove_lines,PostInvoicesInvoiceRemoveLines,Bulk remove invoice line items,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/send,PostInvoicesInvoiceSend,Send an invoice for manual payment,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/update_lines,PostInvoicesInvoiceUpdateLines,Bulk update invoice line items,x,3,floor,
stripe,POST,/v1/invoices/{invoice}/void,PostInvoicesInvoiceVoid,Void an invoice,x,3,floor,
stripe,GET,/v1/issuing/authorizations,GetIssuingAuthorizations,List all authorizations,r,1,method,
stripe,GET,/v1/issuing/authorizations/{authorization},GetIssuingAuthorizationsAuthorization,Retrieve an authorization,r,1,method,
stripe,POST,/v1/issuing/authorizations/{authorization},PostIssuingAuthorizationsAuthorization,Update an authorization,x,3,floor,
