row_id,provider,method,path,operationId
pc-r4013,intercom,GET,/subscription_types,listSubscriptionTypes
x17-e0375,okta,GET,/api/v1/iam/roles/{roleIdOrLabel}/permissions/{permissionType},getRolePermission
pc-r1483,paypal,POST,/v2/invoicing/invoices/{invoice_id}/generate-qr-code,invoices.generate-qr-code
pc-r2663,jira,GET,/rest/api/2/issueLink/{linkId},getIssueLink
pc-r0764,openai,GET,/organization/usage/images,usage-images
pc-r3073,mailchimp,GET,/automations/{workflow_id}/emails/{workflow_email_id}/queue/{subscriber_hash},getAutomationsIdEmailsIdQueueId
pc-r2139,digitalocean,GET,/v2/projects/default/resources,projects_list_resources_default
pc-r0177,stripe,GET,/v1/customers/{customer}/subscriptions/{subscription_exposed_id}/discount,GetCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount
pc-r3665,datadog,GET,/api/v1/integration/gcp,ListGCPIntegration
pc-r1328,zoom,GET,/past_meetings/{meetingUUID}/participants,pastMeetingParticipants
pc-r1843,digitalocean,GET,/v2/databases/{database_cluster_uuid}/do_settings,databases_get_do_settings
x17-e1284,xero,GET,/Organisation,getOrganisations
pc-r1682,spotify,GET,/playlists/{playlist_id},get-playlist
pc-r0883,openai,GET,/chatkit/threads,ListThreadsMethod
pc-r1827,digitalocean,GET,/v2/billing/{account_urn}/insights/{start_date}/{end_date},billingInsights_list
pc-r0958,square,GET,/v2/bookings/custom-attribute-definitions,ListBookingCustomAttributeDefinitions
x17-e0289,okta,GET,/api/v1/eventHooks/{eventHookId},getEventHook
pc-r3594,datadog,GET,/api/v1/api_key,ListAPIKeys
pc-r1681,spotify,GET,/me,get-current-users-profile
x17-e1105,docusign,GET,/v2.1/accounts/{accountId}/users/{userId}/settings,UserSettings_GetUserSettings
pc-r0204,stripe,GET,/v1/files,GetFiles
x17-e0023,okta,GET,/api/v1/api-tokens/{apiTokenId},getApiToken
pc-r2513,jira,POST,/rest/api/2/expression/eval,evaluateJiraExpression
x17-e0065,okta,GET,/api/v1/apps/{appId}/federated-claims,listFederatedClaims
pc-r2043,digitalocean,GET,/v2/monitoring/metrics/droplet/load_5,monitoring_get_dropletLoad5Metrics
