repo,file,version,sha,path,method,operationId,summary,description,default_class
BlockchainPublicAddress,blockchain-public-address-validation.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/nonce,POST,createBlockchainPublicAddressValidationNonce,Generates a one-time nonce associated to a specific Blockchain Public Address,Generates a one-time nonce (i.e. challenge) associated to a specific Blockchain Public Address to allow for enhanced validation as per defined in `bindBlockchainPublicAddress` operation of CAMARA Blockchain Public Address API.,x
BlockchainPublicAddress,blockchain-public-address.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/blockchain-public-addresses/retrieve-blockchains,POST,retrieveBlockchainPublicAddress,Retrieves Blockchain Public Address associated with a mobile phone number.,"Retrieves Blockchain Public Address associated with a mobile phone number. This operation can be accessed in 3-legged and in 2-legged, notice that the mobile phone number used as input need not be related with the user or mobile phone number to which the Access Token is associated; this is because the operation is intended to be used to manage Blockchain Public Address of any mobile phone number, in order to perform send or request crypto operations.",x
BlockchainPublicAddress,blockchain-public-address.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/blockchain-public-addresses,POST,bindBlockchainPublicAddress,Binds Blockchain Public Address to a mobile phone number,"Binds Blockchain Public Address to a mobile phone number. If the mobile phone number is already bound to a Blockchain Public Address, this operation will add a new bound Blockchain Public Address to the mobile phone number. This operation is intended to be used with a 3-legged Access Token, and the indicated mobile phone number must belong to the user identified by its `sub` in the Access Token; this is because only the user of the mobile phone number must be able to perform the bind. Specifically for this functionality, when a binding operation indicates a `blockchainNetworkId` not allowed by",x
BlockchainPublicAddress,blockchain-public-address.yaml,wip,80047ebce94687f159ed8912a2876321d1564c6a,/blockchain-public-addresses/{id},DELETE,deleteBlockchainPublicAddress,Unbinds Blockchain Public Address association to a mobile phone number,"Unbinds Blockchain Public Address to a mobile phone number. This operation is intended to be used with a 3-legged Access Token; this is because only the user of the mobile phone number must be able to perform the unbind. Note: Due to this, the API Server must validate that the `id` included in the request refers to a bind for a mobile phone number belonging to the user identified by its `sub` in the Access Token.",w
CallForwardingSignal,call-forwarding-signal.yaml,wip,a0dd21d76645d663d1cb7c0138dc8aed77530dc0,/unconditional-call-forwardings,POST,retrieveUnconditionalCallForwarding,Retrieve the information about the status of the unconditional call forwarding service on a phone number (PhoneNumber),"This endpoint provides information about the status of the unconditional call forwarding, being active or not.",x
CallForwardingSignal,call-forwarding-signal.yaml,wip,a0dd21d76645d663d1cb7c0138dc8aed77530dc0,/call-forwardings,POST,retrieveCallForwarding,Retrieve the information about the type of call forwarding service active on a phone number (PhoneNumber),"This endpoint provides information about which type of call forwarding service is active. More than one service can be active, e.g. conditional and unconditional. This endpoint exceeds the main scope of the Call Forwarding Signal API, for this reason an error code 501 can be returned.",x
CapabilitiesAndRuntimeRestrictions,capabilities-and-restrictions.yaml,wip,9f8aa9b5d31a7689a8ae4ea850df7d3d7a0cba64,/retrieve,POST,postServiceCapability,Retrieve tailored service capabilities based on consumer context,"Returns service capability information tailored to the consumer's context, including active/inactive restrictions and mapping metadata. Successful response is with sets of restrictions based on consumer context, along with a restriction mapping assigning bit positions, capability identifiers, and a mapping version. It includes response with initial bitmaps which should be enforced on the API consumer side.",x
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds,POST,createRefund,Create a new Refund,Create a new refund for an existing payment. Refund can be `total` or `partial`. This procedure MUST be always limited to the API client which performed the related payment.,x
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds,GET,retrieveRefunds,Get a list of refunds,"Retrieve a list of refunds and their details for a specific payment, identified by its `paymentId`, based on some filtering criteria. Regardless the refund criteria provided, response MUST be always limited to refunds performed by the API client (i.e same oAuth credentials) triggering this request. This is to guarantee no API client can check refunds performed by other, therefore avoiding any legal or privacy topic.  When Access Token is issued for a given user phone number, the list of refunds returned would be only the ones associated to that user phone number and API client. When Access Tok",r
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds/{refundId},GET,retrieveRefund,Get refund details,"Retrieve refund details for a given refund.  When Access Token is issued for a given user phone number, the refund details would be returned in case the `refundId` is associated to that user phone number and API client, otherwise `404 NOT_FOUND` will be returned. When Access Token is not associated to a user phone number, the refund details are returned in case the API client managed that refund.",r
CarrierBillingCheckOut,carrier-billing-refund.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/refunds/remaining-amount,GET,retrievePaymentRemainingAmount,Get remaining amount not refunded for a given payment,"Retrieve remaining amount not yet refunded for a given payment. This amount refers to the pending amount never requested to be refunded (i.e. a refund not yet consolidated -processing- implies that such an amount is not part of the remaining amount until final status for that procedure is reached). Some cases below to illustrate the behaviour:  **Case_1:** Payment of 80 EUR, with 2 partial `succedeed` Refunds, each of them of 20 EUR   - remainingAmount: 40 EUR  **Case_2:** Payment of 80 EUR, with 2 partial Refunds, one `succeeded` of 20 EUR and other `processing` of 15 EUR   - remainingAmount:",r
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments,POST,createPayment,Create a new Payment,Create a new payment for subsequent charging to an end user. Carrier Billing Server will apply the charging according to business configuration for the end user.,x
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments,GET,retrievePayments,Get a list of payments,"Retrieve a list of payments and their details based on some filtering criteria. Regardless the payment criteria provided, response MUST be always limited to payments performed by the API client (i.e same oAuth credentials) triggering this request. This is to guarantee no API client can check payments performed by other, therefore avoiding any legal or privacy topic.  When Access Token is issued for a given user phone number, the list of payments returned would be only the ones associated to that user phone number and API client. When Access Token is not associated to a user phone number, there",r
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId},GET,retrievePayment,Get payment details,"Retrieve payment details for a given payment.  When Access Token is issued for a given user phone number, the payment details would be returned in case the `paymentId` is associated to that user phone number and API client, otherwise `404 NOT_FOUND` will be returned. When Access Token is not associated to a user phone number, the payment details are returned in case the API client managed that payment.",r
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/prepare,POST,preparePayment,Prepare (reserve) a payment,Prepare a new payment procedure. Carrier Billing Server will apply the charging according to business configuration for the end user.,x
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/validate,POST,validatePayment,Validate a payment,"Validate a given payment with a code, identified by its paymentId. This process is applicable for 2-STEP, when optionally required by business case.",x
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/confirm,POST,confirmPayment,Confirm a payment,"Confirm a reservation of a given payment, identified by its paymentId.",x
CarrierBillingCheckOut,carrier-billing.yaml,wip,3e1213fedab1e55d5278fd105a1d6202d5fabe0e,/payments/{paymentId}/cancel,POST,cancelPayment,Cancel a payment,"Cancel a reservation of a given payment, identified by its paymentId.",x
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls,POST,createCall,Create a new Click to Dial call session,Creates a new Click to Dial call session between the caller and the callee.,x
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls/{callId},GET,getCall,Get call details,Retrieve the details and current status of a Click to Dial call session.,r
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls/{callId},DELETE,terminateCall,Terminate an active call,Terminates an active Click to Dial call session identified by the given callId.,w
ClickToDial,click-to-dial.yaml,wip,39f6bf61a871ee8fa10c901eca7fe37a945d6b3f,/calls/{callId}/recording,GET,getRecording,Get call recording,"Retrieve the recording associated with the given callId. A recording can be retrieved successfully only if recording was explicitly enabled during creation (`recordingEnabled: true`), is supported by the provider, the call session has completed, and a recording was actually generated. If no recording is available, the API returns `404 Not Found` with the code `NOT_FOUND` (or `422 RECORDING_NOT_SUPPORTED` during call creation if the provider immediately knows recording cannot be enabled).",r
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions,POST,createConnectedNetworkTypeSubscription,Create a subscription for receiving notifications on changes to the connected network type of a device,Create a subscription for receiving notifications on changes to the connected network type of a device.,x
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,Retrieve a list of device connected network type event subscription,Retrieve a list of device connected network type event subscription(s),r
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,Retrieve a device connected network type event subscription for a device,retrieve ConnectedNetworkType subscription information for a given subscription ID.,r
ConnectedNetworkType,connected-network-type-subscriptions.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,delete a given ConnectedNetworkType subscription.,w
ConnectedNetworkType,connected-network-type.yaml,wip,a60d6ad12f71232ff04fa0dd00f7035fc8b4723a,/retrieve,POST,getConnectedNetworkType,Get the connected network type,Get the connected network type to which the user device is connected,x
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions,POST,createSubscription,Create a Connectivity insights subscription for a device,Create a Connectivity insights subscription for a device,x
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions,GET,getSubscriptionList,Retrieve a list of apiName event subscription,Operation to list subscriptions authorized to be retrieved by the provided access token.,r
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions/{subscriptionId},GET,getSubscription,Operation to retrieve a subscription based on the provided ID,Retrieve a given subscription by ID,r
ConnectivityInsights,connectivity-insights-subscriptions.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/subscriptions/{subscriptionId},DELETE,deleteSubscription,Operation to delete a subscription,Delete a given subscription by ID,w
ConnectivityInsights,connectivity-insights.yaml,wip,fe98a77b9b46aa27e2b736b353216e36b10b813a,/check-network-quality,POST,checkNetworkQuality,Check the network quality.,Check the network quality. The response shows the network's current  level of confidence that it can meet an application profile's quality  thresholds for a given end user device.,x
ConsentInfo,consent-info.yaml,wip,44e4977abc6959b5270c19f8cbdfa3fb9516dbb4,/retrieve,POST,retrieveStatus,Create a request to retrieve the validity status of the data processing,"Create a request to retrieve the validity status of the API Consumer data processing for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token.",x
ConsentManagement,consent-management.yaml,wip,a6c00c843d78d053dc935eb94330094dede9c49c,/consents,POST,createConsent,Create User Consent,"This operation allows the API Consumer to create a Consent for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token.  The API Provider will set the creation date of the User Consent to the current date and time when the `createConsent` operation is invoked successfully by the API Consumer.  The expiration date of the User Consent created by the API Consumer will be determined by the API Provider's internal policies. The API Consumer cannot set or modify the expiration date of the User Consents captured in a delegated mann",x
ConsentManagement,consent-management.yaml,wip,a6c00c843d78d053dc935eb94330094dede9c49c,/consents/{consentId},PATCH,updateConsent,Update User Consent,"This operation allows the API Consumer to update the status of an existing Consent for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token.  The expiration date of the User Consent updated by the API Consumer will be determined by the API Provider's internal policies. The API Consumer cannot set or modify the expiration date of the User Consents captured in a delegated manner.",x
ConsentManagement,consent-management.yaml,wip,a6c00c843d78d053dc935eb94330094dede9c49c,/consents/retrieve-info,POST,retrieveConsentInfo,Retrieve Consent Information,"This operation allows the API Consumer to retrieve information about the Consent(s) for a given User, scope(s) and Purpose. The API Consumer is identified by the `client_id` parameter deduced from the access token.  The API Consumer can request that the texts intended for or previously shown to the User during the Consent Capture process for the requested scope(s) and Purpose be included in the response. If so, the `consentText` field will be included in the response for each matching Consent Information entry.  The operation response may require more than one array item for the requested scop",x
CustomerInsights,customer-insights.yaml,wip,8844b2467caf919c8f342fc1cf5caeb7e4ae8998,/scoring/retrieve,POST,retrieveScoring,Retrieves Scoring information,"Retrieves Scoring information, for the user associated with the provided `idDocument`, `phoneNumber` or the combination of both parameters. It also allows to select the type of the Scoring scale measurement.",x
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses,GET,listAccesses,"Get a paged list of accesses to dedicated networks, optionally filtered for a given device and/or for a given dedicated network","Get a paged list of accesses to dedicated networks, optionally filtered for a given device and/or for a given dedicated network",r
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses,POST,createAccess,"Create an access to a dedicated network with given configuration, optionally including devices","Create an access to a dedicated network with given configuration, optionally including devices",x
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId},GET,readAccess,Read access information,Read access information,r
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId},DELETE,deleteAccess,Delete an access,Delete an access,w
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId}/devices,GET,listDevices,"Read a paged list of devices with information included in the access, optionally filtered for a given device and/or for a given device status","Read a paged list of devices with information included in the access, optionally filtered for a given device and/or for a given device status",r
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId}/devices/add,POST,addDevicesToAccess,Add devices to the access,Add devices to the access,x
DedicatedNetworks,dedicated-network-accesses.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/accesses/{accessId}/devices/remove,POST,removeDevicesFromAccess,Remove devices from the access,Remove devices from the access,x
DedicatedNetworks,dedicated-network-areas.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/retrieve-service-areas,POST,retrieveNetworkServiceAreas,"Retrieve network service areas, filtered by additional search criteria","Retrieve a paged list of network service areas matching the provided search criteria such as location, area overlap, name, or supported profiles.",x
DedicatedNetworks,dedicated-network-areas.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/areas/{areaId},GET,readNetworkServiceArea,Read a network service area,Read detailed information about a specific network service area identified by its areaId.,r
DedicatedNetworks,dedicated-network-profiles.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/profiles,GET,readNetworkProfiles,Read dedicated network profiles,"Read all available network profiles, optionally filtered by name.",r
DedicatedNetworks,dedicated-network-profiles.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/profiles/{profileId},GET,readNetworkProfile,Read a dedicated network profile,Read detailed information about a specific network profile identified by its profileId.,r
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks,GET,listNetworks,Get a paged list of dedicated networks,"A paged list of all available dedicated networks, optionally filtered by name.",r
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks,POST,createNetwork,Request to create a dedicated network,"Create a dedicated network with the given configuration, including service time, service area, and a network profile or QoS profile.",x
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks/{networkId},GET,readNetwork,Get the current information about a dedicated network,Read the current status and configuration of a specific dedicated network identified by its networkId.,r
DedicatedNetworks,dedicated-network.yaml,wip,6771f7fef973ba2cb7de8e54c0c6ad81fb08564f,/networks/{networkId},DELETE,deleteNetwork,Delete a dedicated network,Delete a dedicated network identified by its networkId.,w
DeviceAuthenticity,device-authenticity.yaml,wip,55dec08855452361c9730c4b234246ebfa473d28,/check-status,POST,checkImeiStatus,Check the register status of a device using its IMEI,"Verify if an IMEI is present in allowed, prohibited, or tracked lists maintained by operators",x
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions,POST,createDeviceDataVolumeSubscription,Create a device data volume event subscription,Create a subscription for data volume usage events,x
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions,GET,retrieveDeviceDataVolumeSubscriptionList,Retrieve a list of device data volume subscriptions,Retrieve a list of data volume usage event subscription(s),r
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions/{subscriptionId},GET,retrieveDeviceDataVolumeSubscription,Retrieve a device data volume event subscription,Retrieve a specific subscription by ID,r
DeviceDataVolume,device-data-volume-subscriptions.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/subscriptions/{subscriptionId},DELETE,deleteDeviceDataVolumeSubscription,Delete a device data volume event subscription,"This operation deletes a specific data volume usage subscription by its subscription ID. Once deleted, no more notifications will be sent for the corresponding subscription.",w
DeviceDataVolume,device-data-volume.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/retrieve,POST,retrieveDataVolume,Execute device data volume retrieval for a user device,Retrieve the estimated remaining data volume for a device.,x
DeviceDataVolume,device-data-volume.yaml,wip,71bfba2e8168fb5f6460bce5fc176de9b4c8f3de,/check,POST,checkDataVolume,Check if the remaining data allowance is above a specified threshold,"Check if the remaining data allowance for a specified device is above a specified threshold. If the remaining data allowance is above the threshold, then response property `thresholdExceeded` will be `true`.",x
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/retrieve-identifier,POST,retrieveIdentifier,Get details about the specific device being used by a given mobile subscriber,Get details about the specific device being used by a given mobile subscriber,x
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/retrieve-type,POST,retrieveType,Get details about the type of device being used by a given mobile subscriber,Get details about the type of device being used by a given mobile subscriber,x
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/retrieve-ppid,POST,retrievePpid,Get a pseudonymous identifier for device being used by a given mobile subscriber,Get a pseudonymous identifier for device being used by a given mobile subscriber,x
DeviceIdentifier,device-identifier.yaml,wip,5dcccd77e4b47b20aaf42b7e54affbf860f40c46,/match-identifier,POST,matchIdentifier,Check if a provided device identifier matches the one associated with the subscription,Check if a provided device identifier matches the one the network currently associates with a given mobile subscription,x
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions,POST,createGeofencingSubscription,Create a geofencing subscription for a device,Create a subscription for a device to receive notifications when the device enters or exits a specified area.,x
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions,GET,retrieveGeofencingSubscriptionList,Retrieve a list of geofencing event subscription,Retrieve a list of geofencing event subscription(s).,r
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions/{subscriptionId},GET,retrieveGeofencingSubscription,Operation to retrieve a subscription based on the provided ID,Retrieve Geofencing subscription information for a given subscription ID.,r
DeviceLocation,geofencing-subscriptions.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/subscriptions/{subscriptionId},DELETE,deleteGeofencingSubscription,Delete a Geofencing event subscription,Delete a given Geofencing subscription.,w
DeviceLocation,location-retrieval.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/retrieve,POST,retrieveLocation,Execute location retrieval for a user device,Retrieve the area where a certain user device is localized.,x
DeviceLocation,location-verification.yaml,wip,baf86c823cb723e866c7348459999aea83f999ce,/verify,POST,verifyLocation,Verify the location of a device,"Verify whether the location of a device is within a requested area. The operation returns a verification result and, optionally, a match rate estimation for the location verification in percent.",x
DeviceMediaStreamingRate,media-streaming-rate.yaml,wip,2750190dd69dc65d059e04b0e97807f07e5d78d3,/retrieve-maximum-downstream-media-rate,POST,retrieveMaximumDownstreamMediaRate,Get maximum downstream media streaming rate,"Retrieve the maximum downstream media streaming rate for a device. This helps application developers determine the optimal media quality settings for their applications.  When using a two-legged token, the device object MUST be provided. When using a three-legged token, the device object MUST NOT be provided as the device information will be extracted from the token.",x
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions,POST,createDeviceReachabilityStatusSubscription,Create a device reachability status event subscription for a device,Create a device reachability status event subscription for a device,x
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,Retrieve a list of device reachability status event subscription,Retrieve a list of device reachability status event subscription(s),r
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions/{subscriptionId},GET,retrieveDeviceReachabilityStatusSubscription,Retrieve a device reachability status event subscription for a device,Retrieve a given subscription by ID,r
DeviceReachabilityStatus,device-reachability-status-subscriptions.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/subscriptions/{subscriptionId},DELETE,deleteDeviceReachabilityStatusSubscription,Delete a device reachability status event subscription for a device,Delete a given subscription by ID,w
DeviceReachabilityStatus,device-reachability-status.yaml,wip,6074c3e6d63744dfef74a7c31f7a50b5276f0d73,/retrieve,POST,getReachabilityStatus,Get the current reachability status information,Get the current reachability status information,x
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions,POST,createDeviceRoamingStatusSubscription,Create a device roaming status event subscription for a device,Create a device roaming status event subscription for a device,x
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions,GET,retrieveDeviceRoamingStatusSubscriptionList,Retrieve a list of device roaming status event subscription,Retrieve a list of device roaming status event subscription(s),r
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions/{subscriptionId},GET,retrieveDeviceRoamingStatusSubscription,Retrieve a roaming status event subscription for a device,retrieve device roaming status subscription information for a given subscription.,r
DeviceRoamingStatus,device-roaming-status-subscriptions.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/subscriptions/{subscriptionId},DELETE,deleteDeviceRoamingStatusSubscription,Delete a device-roaming-status event subscription for a device,Delete a given device-roaming-status subscription by ID,w
DeviceRoamingStatus,device-roaming-status.yaml,wip,d8d5aa6c8b383f2af066f4d5ce3be407d665123f,/retrieve,POST,getRoamingStatus,Get the current roaming status and the country information,Get the current roaming status and the country information,x
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,POST,createConnectedNetworkTypeSubscription,Create a subscription for receiving notifications on changes to the connected network type of a device,Create a subscription for receiving notifications on changes to the connected network type of a device.,x
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,GET,retrieveConnectedNetworkTypeSubscriptionList,Retrieve a list of device connected network type event subscription,Retrieve a list of device connected network type event subscription(s),r
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},GET,retrieveConnectedNetworkTypeSubscription,Retrieve a device connected network type event subscription for a device,retrieve ConnectedNetworkType subscription information for a given subscription ID.,r
DeviceStatus,connected-network-type-subscriptions.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions/{subscriptionId},DELETE,deleteConnectedNetworkTypeSubscription,Delete connected network type event subscription for a device,delete a given ConnectedNetworkType subscription.,w
DeviceStatus,connected-network-type.yaml,0.1.0,a628ed797be4915dab20288e4f11a5c60327ee03,/retrieve,POST,getConnectedNetworkType,Get the connected network type,Get the connected network type to which the user device is connected,x
DeviceStatus,device-reachability-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,POST,createDeviceReachabilityStatusSubscription,Create a device reachability status event subscription for a device,Create a device reachability status event subscription for a device,x
DeviceStatus,device-reachability-status-subscriptions.yaml,0.7.0,a628ed797be4915dab20288e4f11a5c60327ee03,/subscriptions,GET,retrieveDeviceReachabilityStatusSubscriptionList,Retrieve a list of device reachability status event subscription,Retrieve a list of device reachability status event subscription(s),r
