set,repo,method,operationId,summary,tool_class,gt_class,confidence,destructive,d_rule
holdout1,github,DELETE,activity/mark-thread-as-done,Mark a thread as done,x,w,low,true,D1-method-delete
holdout1,github,PUT,actions/set-actions-cache-storage-limit-for-organization,Set GitHub Actions cache storage limit for an organization,x,w,high,false,D3-not-destructive
holdout1,github,DELETE,actions/delete-custom-image-version-from-org,Delete an image version of custom image from the organization,x,w,high,true,D1-method-delete
holdout1,github,PUT,actions/set-github-actions-permissions-organization,Set GitHub Actions permissions for an organization,x,w,high,false,D3-not-destructive
holdout1,github,PUT,actions/set-selected-repositories-enabled-github-actions-organization,Set selected repositories enabled for GitHub Actions in an organization,x,w,low,false,D3-not-destructive
holdout1,github,PUT,actions/set-self-hosted-runners-permissions-organization,Set self-hosted runners settings for an organization,x,w,high,false,D3-not-destructive
holdout1,github,PUT,actions/set-github-actions-default-workflow-permissions-organization,Set default workflow permissions for an organization,x,w,high,false,D3-not-destructive
holdout1,github,PUT,actions/add-repo-access-to-self-hosted-runner-group-in-org,Add repository access to a self-hosted runner group in an organization,x,w,high,false,D3-not-destructive
holdout1,github,DELETE,actions/delete-self-hosted-runner-from-org,Delete a self-hosted runner from an organization,x,w,high,true,D1-method-delete
holdout1,github,DELETE,actions/delete-org-secret,Delete an organization secret,x,w,low,true,D1-method-delete
holdout1,github,PUT,actions/add-selected-repo-to-org-secret,Add selected repository to an organization secret,x,w,high,false,D3-not-destructive
holdout1,github,PUT,actions/add-selected-repo-to-org-variable,Add selected repository to an organization variable,x,w,high,false,D3-not-destructive
holdout1,github,DELETE,agents/remove-selected-repo-from-org-secret,Remove selected repository from an organization secret,x,w,high,true,D1-method-delete
holdout1,github,DELETE,agents/remove-selected-repo-from-org-variable,Remove selected repository from an organization variable,x,w,high,true,D1-method-delete
holdout1,github,DELETE,orgs/unblock-user,Unblock a user from an organization,x,w,high,true,D1-method-delete
holdout1,github,DELETE,code-security/delete-configuration,Delete a code security configuration,x,w,low,true,D1-method-delete
holdout1,github,DELETE,codespaces/delete-org-secret,Delete an organization secret,x,w,low,true,D1-method-delete
holdout1,github,PUT,codespaces/add-selected-repo-to-org-secret,Add selected repository to an organization secret,x,w,high,false,D3-not-destructive
holdout1,github,PUT,copilot/enable-copilot-coding-agent-for-repository-in-organization,Enable a repository for Copilot cloud agent in an organization,x,w,high,false,D3-not-destructive
holdout1,github,PUT,dependabot/create-or-update-org-secret,Create or update an organization secret,x,w,high,false,D3-not-destructive
holdout1,github,DELETE,orgs/delete-webhook,Delete an organization webhook,x,w,low,true,D1-method-delete
holdout1,github,DELETE,orgs/delete-issue-field,Delete issue field for an organization,x,w,high,true,D1-method-delete
holdout1,github,DELETE,migrations/unlock-repo-for-org,Unlock an organization repository,x,w,low,true,D1-method-delete
holdout1,github,DELETE,projects/delete-item-for-org,Delete project item for organization,x,w,low,true,D1-method-delete
holdout1,github,PUT,orgs/set-public-membership-for-authenticated-user,Set public organization membership for the authenticated user,x,w,low,false,D3-not-destructive
holdout1,github,DELETE,orgs/disable-selected-repository-immutable-releases-organization,Disable a selected repository for immutable releases in an organization,x,w,high,true,D1-method-delete
holdout1,github,DELETE,actions/delete-actions-cache-by-key,Delete GitHub Actions caches for a repository (using a cache key),x,w,high,true,D1-method-delete
holdout1,github,PUT,actions/set-workflow-access-to-repository,Set the level of access for workflows outside of the repository,x,w,high,false,D3-not-destructive
holdout1,github,PUT,actions/set-allowed-actions-repository,Set allowed actions and reusable workflows for a repository,x,w,high,false,D3-not-destructive
holdout1,github,PUT,actions/set-custom-labels-for-self-hosted-runner-for-repo,Set custom labels for a self-hosted runner for a repository,x,w,high,false,D3-not-destructive
holdout1,github,DELETE,actions/delete-repo-secret,Delete a repository secret,x,w,low,true,D1-method-delete
holdout1,github,PUT,actions/enable-workflow,Enable a workflow,x,w,low,false,D3-not-destructive
holdout1,github,DELETE,repos/delete-autolink,Delete an autolink reference from a repository,x,w,low,true,D1-method-delete
holdout1,github,PUT,repos/update-branch-protection,Update branch protection,x,w,low,false,D3-not-destructive
holdout1,github,DELETE,repos/remove-status-check-protection,Remove status check protection,x,w,low,true,D1-method-delete
holdout1,github,DELETE,codespaces/delete-repo-secret,Delete a repository secret,x,w,low,true,D1-method-delete
holdout1,github,DELETE,dependabot/delete-repo-secret,Delete a repository secret,x,w,low,true,D1-method-delete
holdout1,github,PUT,repos/create-or-update-environment,Create or update an environment,x,w,high,false,D3-not-destructive
holdout1,github,DELETE,actions/delete-environment-secret,Delete an environment secret,x,w,low,true,D1-method-delete
holdout1,github,DELETE,repos/delete-webhook,Delete a repository webhook,x,w,low,true,D1-method-delete
holdout1,github,PUT,interactions/set-pull-request-bypass-list-for-repo,Add users to the pull request creation cap bypass list for a repository,x,w,high,false,D3-not-destructive
holdout1,github,PUT,issues/pin-comment,Pin an issue comment,x,w,low,false,D3-not-destructive
holdout1,github,PUT,activity/mark-repo-notifications-as-read,Mark repository notifications as read,x,w,low,false,D3-not-destructive
holdout1,github,PUT,repos/enable-private-vulnerability-reporting,Enable private vulnerability reporting for a repository,x,w,high,false,D3-not-destructive
holdout1,github,PUT,pulls/dismiss-review,Dismiss a review for a pull request,x,w,low,false,D3-not-destructive
holdout1,github,DELETE,reactions/delete-for-release,Delete a release reaction,x,w,low,true,D1-method-delete
holdout1,github,DELETE,activity/delete-repo-subscription,Delete a repository subscription,x,w,low,true,D1-method-delete
holdout1,github,PUT,repos/enable-vulnerability-alerts,Enable vulnerability alerts,x,w,low,false,D3-not-destructive
holdout1,github,DELETE,users/unblock,Unblock a user,x,w,high,true,D1-method-delete
holdout1,github,PUT,codespaces/set-repositories-for-secret-for-authenticated-user,Set selected repositories for a user secret,x,w,high,false,D3-not-destructive
holdout1,github,DELETE,users/delete-email-for-authenticated-user,Delete an email address for the authenticated user,x,w,low,true,D1-method-delete
holdout1,github,DELETE,users/delete-public-ssh-key-for-authenticated-user,Delete a public SSH key for the authenticated user,x,w,low,true,D1-method-delete
holdout1,github,DELETE,packages/delete-package-version-for-authenticated-user,Delete a package version for the authenticated user,x,w,low,true,D1-method-delete
holdout1,github,DELETE,activity/unstar-repo-for-authenticated-user,Unstar a repository for the authenticated user,x,w,low,true,D1-method-delete
holdout1,github,DELETE,copilot-spaces/delete-for-user,Delete a Copilot Space for a user,x,w,high,true,D1-method-delete
holdout1,github,DELETE,copilot-spaces/delete-resource-for-user,Delete a resource from a Copilot Space for a user,x,w,high,true,D1-method-delete
holdout1,github,DELETE,projects/delete-item-for-user,Delete project item for user,x,w,low,true,D1-method-delete
clean,box,POST,post_ai_ask,Ask question,x,r,high,false,D3-not-destructive
clean,box,POST,post_ai_text_gen,Generate text,x,r,high,false,D3-not-destructive
clean,box,PUT,put_ai_agents_id,Update AI agent,x,w,low,false,D3-not-destructive
clean,box,PUT,put_comments_id,Update comment,x,w,low,false,D3-not-destructive
clean,box,DELETE,delete_files_upload_sessions_id,Remove upload session,x,w,high,true,D1-method-delete
clean,box,DELETE,delete_files_id_metadata_enterprise_securityClassification-6VMVochwUWo,Remove classification from file,x,w,low,true,D1-method-delete
clean,box,POST,post_files_id_metadata_global_boxSkillsCards,Create Box Skill cards on file,x,w,high,false,D3-not-destructive
clean,box,POST,post_folders_id_metadata_enterprise_securityClassification-6VMVochwUWo,Add classification to folder,x,w,high,false,D3-not-destructive
clean,box,POST,post_metadata_cascade_policies_id_apply,Force-apply metadata cascade policy to folder,x,w,method-only,false,D3-not-destructive
clean,box,PATCH,patch_metadata_taxonomies_id_id,Update metadata taxonomy,x,w,high,false,D3-not-destructive
clean,box,PATCH,patch_metadata_taxonomies_id_id_nodes_id,Update metadata taxonomy node,x,w,high,false,D3-not-destructive
clean,box,DELETE,delete_storage_policy_assignments_id,Unassign storage policy,x,w,low,true,D1-method-delete
clean,box,PUT,put_web_links_id#add_shared_link,Add shared link to web link,x,w,low,false,D3-not-destructive
clean,pagerduty,POST,createAutomationActionTeamAssociation,Associate an Automation Action with a team,x,w,method-only,false,D3-not-destructive
clean,pagerduty,PUT,updateEventEnrichment,Update an Event Enrichment,x,w,low,false,D3-not-destructive
clean,pagerduty,PUT,updateEventEnrichmentRules,Update Event Enrichment rules,x,w,low,false,D3-not-destructive
clean,pagerduty,DELETE,deleteServiceNowTable,Remove a CMDB table,x,w,low,true,D1-method-delete
clean,pagerduty,POST,migrateOrchestrationIntegration,Migrate an Integration from one Event Orchestration to another,x,w,high,false,D3-not-destructive
clean,pagerduty,PUT,updateOrchPathRouter,Update the Router for an Event Orchestration,x,w,low,false,D3-not-destructive
clean,pagerduty,POST,enableExtension,Enable an extension,x,w,high,false,D3-not-destructive
clean,pagerduty,POST,associateServiceToIncidentWorkflowTrigger,Associate a Trigger and Service,x,w,high,false,D3-not-destructive
clean,pagerduty,POST,dismissRecommendedRule,Dismiss a recommended rule,x,w,method-only,false,D3-not-destructive
clean,pagerduty,DELETE,deleteScheduleOverride,Delete an override,x,w,low,true,D1-method-delete
clean,pagerduty,PUT,updateTeamUser,Add a user to a team,x,w,low,false,D3-not-destructive
clean,pagerduty,PUT,updateUserNotificationRule,Update a user's notification rule,x,w,low,false,D3-not-destructive
clean,pagerduty,PUT,updateUserHandoffNotification,Update a User's Handoff Notification Rule,x,w,low,false,D3-not-destructive
clean,pagerduty,PUT,updateUserStatusUpdateNotificationRule,Update a user's status update notification rule,x,w,low,false,D3-not-destructive
clean,adyen,POST,post-originKeys,Create originKey values for domains,x,r,high,false,D3-not-destructive
clean,adyen,PATCH,patch-paymentLinks-linkId,Update the status of a payment link,x,w,high,false,D3-not-destructive
clean,adyen,POST,post-paymentMethods,Get a list of available payment methods,x,r,low,false,D3-not-destructive
clean,adyen,POST,post-paymentMethods-balance,Get the balance of a gift card,x,r,low,false,D3-not-destructive
clean,adyen,DELETE,delete-storedPaymentMethods-storedPaymentMethodId,Delete a token for stored payment details,x,w,high,true,D1-method-delete
clean,adyen,POST,post-validateShopperId,Validates shopper Id,x,r,method-only,false,D3-not-destructive
