row_id,provider,method,path,operationId
x20-e0461,hubspot,PUT,/crm/lists/2026-09/{listId}/schedule-conversion,put-/crm/lists/2026-09/{listId}/schedule-conversion
x17-e0142,okta,POST,/api/v1/authorizationServers/{authServerId}/lifecycle/activate,activateAuthorizationServer
x17-e0757,docusign,PUT,/v2.1/accounts/{accountId}/brands/{brandId},Brand_PutBrand
pc-r3863,intercom,PUT,/articles/{id}/draft,stageArticleDraft
x17-e0013,okta,POST,/api/v1/agentPools/{poolId}/updates/{updateId},updateAgentPoolsUpdate
pc-r1741,spotify,PUT,/me/player/pause,pause-a-users-playback
x20-e0266,hubspot,DELETE,/crm/lists/2026-09/{listId},delete-/crm/lists/2026-09/{listId}
x20-e0198,auth0,POST,/organizations/{id}/client-grants,create_organization-client-grants
pc-r0683,openai,POST,/organization/certificates,uploadCertificate
pc-r0548,stripe,POST,/v1/topups/{topup}/cancel,PostTopupsTopupCancel
x20-e0359,hubspot,PATCH,/crm/v3/objects/products/{productId},patch-/crm/v3/objects/products/{productId}_update
x17-e0231,okta,POST,/api/v1/captchas,createCaptchaInstance
pc-r0023,stripe,POST,/v1/accounts/{account}/people,PostAccountsAccountPeople
x20-e0771,zendesk,DELETE,/api/v2/deletion_schedules/{deletion_schedule_id},DeleteDeletionSchedule
x20-e0178,auth0,POST,/experimentation/experiments,create_experiment
x17-e0922,docusign,PUT,/v2.1/accounts/{accountId}/envelopes/{envelopeId}/workflow/steps/{workflowStepId}/delayedRouting,EnvelopeWorkflowDelayedRouting_PutEnvelopeDelayedRoutingDefinition
