row_id,provider,method,path,operationId
pc-r2707,jira,PUT,/rest/api/2/issuetypescheme/{issueTypeSchemeId}/issuetype,addIssueTypesToIssueTypeScheme
pc-r2642,jira,DELETE,/rest/api/2/issue/{issueIdOrKey}/remotelink/{linkId},deleteRemoteIssueLinkById
x20-e0806,zendesk,DELETE,/api/v2/ticket_fields/{ticket_field_id}/options/{ticket_field_option_id},DeleteTicketFieldOption
pc-r3972,intercom,DELETE,/conversations/attributes/{id},deleteConversationAttribute
x20-e0784,zendesk,DELETE,/api/v2/oauth/tokens/current,RevokeCurrentOAuthToken
pc-r3720,datadog,PUT,/api/v1/notebooks/{notebook_id},UpdateNotebook
x17-e0291,okta,DELETE,/api/v1/eventHooks/{eventHookId},deleteEventHook
x20-e0436,hubspot,POST,/settings/v3/currencies/exchange-rates/update-visibility,post-/settings/v3/currencies/exchange-rates/update-visibility
x20-e0077,auth0,PATCH,/actions/actions/{id},patch_action
pc-r0094,stripe,POST,/v1/charges/{charge},PostChargesCharge
x17-e0915,docusign,PUT,/v2.1/accounts/{accountId}/envelopes/{envelopeId}/workflow/scheduledSending,EnvelopeWorkflowScheduledSending_PutEnvelopeScheduledSendingDefinition
pc-r1232,square,PUT,/v2/team-members/{team_member_id},UpdateTeamMember
pc-r3278,mailchimp,PATCH,/ecommerce/stores/{store_id}/promo-rules/{promo_rule_id},patchEcommerceStoresIdPromorulesId
x17-e0423,okta,POST,/api/v1/idps/{idpId}/lifecycle/deactivate,deactivateIdentityProvider
pc-r1987,digitalocean,DELETE,/v2/images/{image_id},images_delete
pc-r3890,intercom,PUT,/help_center/collections/{collection_id},updateCollection
pc-r1500,paypal,PATCH,/v1/notifications/webhooks/{webhook_id},webhooks.update
pc-r2036,digitalocean,PUT,/v2/monitoring/alerts/{alert_uuid},monitoring_update_alertPolicy
x20-e0449,hubspot,PUT,/cms/v3/pages/landing-pages/multi-language/set-new-lang-primary,put-/cms/v3/pages/landing-pages/multi-language/set-new-lang-primary_setLangPrimary
x20-e0458,hubspot,PUT,/crm/lists/2026-09/{listId}/memberships/add-from/{sourceListId},put-/crm/lists/2026-09/{listId}/memberships/add-from/{sourceListId}
x17-e0976,docusign,PUT,/v2.1/accounts/{accountId}/settings/notification_defaults,NotificationDefaults_PutNotificationDefaults
x20-e0931,zendesk,PUT,/api/v2/brands/{brand_id},UpdateBrand
pc-r2858,jira,PUT,/rest/api/2/resolution/default,setDefaultResolution
pc-r2964,jira,DELETE,/rest/api/2/version/{versionId}/relatedwork/{relatedWorkId},deleteRelatedWork
x17-e0088,okta,POST,/api/v1/apps/{appId}/lifecycle/activate,activateApplication
pc-r2244,digitalocean,POST,/v2/volumes/{volume_id}/actions,volumeActions_post_byId
pc-r2604,jira,POST,/rest/api/2/issue/archive,archiveIssuesAsync
pc-r3020,jira,DELETE,/rest/api/2/workflowscheme/{id}/issuetype/{issueType},deleteWorkflowSchemeIssueType
pc-r3410,asana,DELETE,/ooo_entries/{ooo_entry_gid},deleteOooEntry
pc-r3210,mailchimp,DELETE,/lists/{list_id}/surveys/{survey_id},deleteListsIdSurveysId
pc-r2704,jira,PUT,/rest/api/2/issuetypescheme/project,assignIssueTypeSchemeToProject
x17-e1372,xero,POST,/TaxRates,updateTaxRate
pc-r2012,digitalocean,DELETE,/v2/kubernetes/clusters/{cluster_id}/node_pools/{node_pool_id}/nodes/{node_id},kubernetes_delete_node
