row_id,corpus_index,set,vendor,method,path,operationId,split
39,124,camara,camara,POST,/high-throughput-elastic-network/transmission/schedule,scheduleTransmission,holdback
40,153,camara,camara,POST,/knowledge-bases,createKnowledgeBase,holdback
41,158,camara,camara,POST,/knowledge-bases/{knowledgeBaseId}/documents,uploadDocument,holdback
42,161,camara,camara,POST,/knowledge-bases/{knowledgeBaseId}/tools,createTool,measure-part1
43,166,camara,camara,POST,/knowledge-bases/{knowledgeBaseId}/tools/{toolId}/call,callTool,measure-part2
44,149,camara,camara,POST,/match,KYC_Match,holdback
45,152,camara,camara,POST,/match,kycMatch,measure-part2
46,72,camara,camara,POST,/match-identifier,matchIdentifier,measure-part1
47,59,camara,camara,POST,/networks,createNetwork,measure-part2
48,174,camara,camara,POST,/networks,createNetwork,measure-part1
49,10,camara,camara,POST,/nonce,createBlockchainPublicAddressValidationNonce,measure-part1
50,21,camara,camara,POST,/payments,createPayment,holdback
51,24,camara,camara,POST,/payments/prepare,preparePayment,measure-part2
52,27,camara,camara,POST,/payments/{paymentId}/cancel,cancelPayment,measure-part2
53,26,camara,camara,POST,/payments/{paymentId}/confirm,confirmPayment,holdback
54,17,camara,camara,POST,/payments/{paymentId}/refunds,createRefund,holdback
55,25,camara,camara,POST,/payments/{paymentId}/validate,validatePayment,holdback
56,273,camara,camara,POST,/pre-announce,createPreAnnouncement,holdback
57,291,camara,camara,POST,/profile/download,profileDownload,holdback
58,290,camara,camara,POST,/profile/downloaded-list,profileList,measure-part2
59,289,camara,camara,POST,/profile/oper,profileOperation,measure-part2
60,288,camara,camara,POST,/profile/result/query,profileResultQuery,measure-part1
61,230,camara,camara,POST,/qos-assignments,createQosAssignment,measure-part1
62,217,camara,camara,POST,/qos-bookings,createBooking,holdback
63,223,camara,camara,POST,/qos-bookings/retrieve,retrieveBookingByDevice,measure-part2
64,220,camara,camara,POST,/qos-bookings/{bookingId}/devices/assign,assignDevices,measure-part1
65,222,camara,camara,POST,/qos-bookings/{bookingId}/devices/release,releaseDevices,measure-part2
66,146,camara,camara,POST,/query,query,measure-part1
67,181,camara,camara,POST,/reboot-requests,createRebootRequest,measure-part1
68,268,camara,camara,POST,/registrations,createRegistration,measure-part1
69,36,camara,camara,POST,/retrieve,getConnectedNetworkType,measure-part1
70,94,camara,camara,POST,/retrieve,getConnectedNetworkType,measure-part2
71,84,camara,camara,POST,/retrieve,getReachabilityStatus,measure-part1
72,99,camara,camara,POST,/retrieve,getReachabilityStatus,measure-part1
73,89,camara,camara,POST,/retrieve,getRoamingStatus,measure-part1
74,104,camara,camara,POST,/retrieve,getRoamingStatus,measure-part1
75,16,camara,camara,POST,/retrieve,postServiceCapability,measure-part1
76,216,camara,camara,POST,/retrieve,retrieveConnectivity,holdback
77,67,camara,camara,POST,/retrieve,retrieveDataVolume,measure-part1
78,107,camara,camara,POST,/retrieve,retrieveDeviceVisitLocation,measure-part2
79,77,camara,camara,POST,/retrieve,retrieveLocation,measure-part2
80,215,camara,camara,POST,/retrieve,retrievePopulationDensity,measure-part1
81,42,camara,camara,POST,/retrieve,retrieveStatus,measure-part1
82,251,camara,camara,POST,/retrieve-age-band,retrieveSimSwapAgeBand,holdback
83,252,camara,camara,POST,/retrieve-closest-edge-cloud-zone,readClosestEdgeCloudZone,holdback
84,105,camara,camara,POST,/retrieve-date,retrieveDeviceSwapDate,measure-part2
85,249,camara,camara,POST,/retrieve-date,retrieveSimSwapDate,holdback
86,227,camara,camara,POST,/retrieve-device-qos-bookings,retrieveBookingByDevice,holdback
87,69,camara,camara,POST,/retrieve-identifier,retrieveIdentifier,measure-part1
88,79,camara,camara,POST,/retrieve-maximum-downstream-media-rate,retrieveMaximumDownstreamMediaRate,holdback
89,0,camara,camara,POST,/retrieve-optimal-app-endpoints,getOptimalAppEndpoints,holdback
90,214,camara,camara,POST,/retrieve-optimal-edge-cloud-zones,discoverOptimalEdge,measure-part2
91,71,camara,camara,POST,/retrieve-ppid,retrievePpid,measure-part2
92,233,camara,camara,POST,/retrieve-qos-assignment,getQosAssignmentByDevice,measure-part2
93,228,camara,camara,POST,/retrieve-qos-profiles,retrieveQosProfiles,measure-part2
94,54,camara,camara,POST,/retrieve-service-areas,retrieveNetworkServiceAreas,measure-part2
95,238,camara,camara,POST,/retrieve-sessions,retrieveSessionsByDevice,holdback
96,243,camara,camara,POST,/retrieve-sessions,retrieveSessionsByDevice,measure-part1
97,204,camara,camara,POST,/retrieve-slices,retrieveSlicesByDevice,holdback
98,136,camara,camara,POST,/retrieve-status,getEsimProfileStatus,holdback
99,260,camara,camara,POST,/retrieve-subscription-status,retrieveSubscriptionStatus,measure-part2
100,70,camara,camara,POST,/retrieve-type,retrieveType,holdback
101,46,camara,camara,POST,/scoring/retrieve,retrieveScoring,holdback
102,211,camara,camara,POST,/send-code,sendCode,measure-part2
103,284,camara,camara,POST,/sessions,createRegistration,holdback
104,234,camara,camara,POST,/sessions,createSession,measure-part1
105,240,camara,camara,POST,/sessions,createSession,holdback
106,274,camara,camara,POST,/sessions,createSession,measure-part1
107,237,camara,camara,POST,/sessions/{sessionId}/extend,extendQosSessionDuration,measure-part2
108,244,camara,camara,POST,/sessions/{sessionId}/metrics,sendSessionMetrics,holdback
109,135,camara,camara,POST,/set-fallback,setFallbackEsimProfile,measure-part1
110,205,camara,camara,POST,/slices,createSlice,measure-part2
111,201,camara,camara,POST,/slices/{sliceId}/devices,assignDevice,holdback
112,203,camara,camara,POST,/slices/{sliceId}/release,releaseDevice,measure-part2
113,253,camara,camara,POST,/sponsorship,startSponsorship,measure-part2
114,32,camara,camara,POST,/subscriptions,createConnectedNetworkTypeSubscription,holdback
115,90,camara,camara,POST,/subscriptions,createConnectedNetworkTypeSubscription,measure-part2
116,63,camara,camara,POST,/subscriptions,createDeviceDataVolumeSubscription,measure-part2
117,80,camara,camara,POST,/subscriptions,createDeviceReachabilityStatusSubscription,measure-part2
118,95,camara,camara,POST,/subscriptions,createDeviceReachabilityStatusSubscription,measure-part1
119,85,camara,camara,POST,/subscriptions,createDeviceRoamingStatusSubscription,measure-part2
120,100,camara,camara,POST,/subscriptions,createDeviceRoamingStatusSubscription,measure-part1
121,73,camara,camara,POST,/subscriptions,createGeofencingSubscription,holdback
122,278,camara,camara,POST,/subscriptions,createNotificationChannelSubscription,measure-part2
123,245,camara,camara,POST,/subscriptions,createSimSwapSubscription,measure-part2
124,37,camara,camara,POST,/subscriptions,createSubscription,measure-part2
125,140,camara,camara,POST,/subscriptions,subscribeFraudPrevention,measure-part2
126,264,camara,camara,POST,/traffic-influence-devices,postTrafficInfluenceDevice,holdback
127,263,camara,camara,POST,/traffic-influences,postTrafficInfluence,measure-part1
128,189,camara,camara,POST,/trust-domains,createTrustDomain,measure-part1
129,194,camara,camara,POST,/trust-domains/{trustDomainId}/devices,createTrustDomainDevice,measure-part1
130,145,camara,camara,POST,/unbind,unBindDeviceImei,measure-part1
131,14,camara,camara,POST,/unconditional-call-forwardings,retrieveUnconditionalCallForwarding,measure-part2
132,129,camara,camara,POST,/v1/devices/{deviceId}/actions/{actionId},performDeviceAction,holdback
133,212,camara,camara,POST,/validate-code,validateCode,holdback
134,209,camara,camara,POST,/verify,phoneNumberVerify,holdback
135,147,camara,camara,POST,/verify,verifyAge,holdback
136,150,camara,camara,POST,/verify,verifyAge,measure-part1
137,173,camara,camara,POST,/verify,verifyFrequentLocation,measure-part2
138,78,camara,camara,POST,/verify,verifyLocation,holdback
139,292,holdout1,twilio,POST,/2010-04-01/Accounts.json,CreateAccount,measure-part1
140,294,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Addresses.json,CreateAddress,holdback
141,295,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Addresses/{Sid}.json,UpdateAddress,measure-part1
142,297,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Applications.json,CreateApplication,measure-part2
143,298,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Applications/{Sid}.json,UpdateApplication,measure-part1
144,300,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls.json,CreateCall,measure-part2
145,335,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Payments.json,CreatePayments,measure-part2
146,336,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Payments/{Sid}.json,UpdatePayments,measure-part1
147,303,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Recordings.json,CreateCallRecording,measure-part1
148,304,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Recordings/{Sid}.json,UpdateCallRecording,measure-part1
149,374,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Siprec.json,CreateSiprec,measure-part2
150,375,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Siprec/{Sid}.json,UpdateSiprec,measure-part1
151,376,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Streams.json,CreateStream,holdback
152,377,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Streams/{Sid}.json,UpdateStream,measure-part2
153,340,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Transcriptions.json,CreateRealtimeTranscription,measure-part2
154,341,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Transcriptions/{Sid}.json,UpdateRealtimeTranscription,holdback
155,384,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/UserDefinedMessageSubscriptions.json,CreateUserDefinedMessageSubscription,measure-part1
156,383,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/UserDefinedMessages.json,CreateUserDefinedMessage,holdback
157,301,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{Sid}.json,UpdateCall,measure-part2
158,334,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Participants.json,CreateParticipant,measure-part1
159,332,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Participants/{CallSid}.json,UpdateParticipant,holdback
160,307,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Recordings/{Sid}.json,UpdateConferenceRecording,measure-part1
161,306,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Conferences/{Sid}.json,UpdateConference,holdback
162,309,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/ConnectApps/{Sid}.json,UpdateConnectApp,holdback
163,313,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers.json,CreateIncomingPhoneNumber,holdback
164,316,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/Local.json,CreateIncomingPhoneNumberLocal,holdback
165,317,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/Mobile.json,CreateIncomingPhoneNumberMobile,measure-part2
166,318,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/TollFree.json,CreateIncomingPhoneNumberTollFree,measure-part2
167,315,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{ResourceSid}/AssignedAddOns.json,CreateIncomingPhoneNumberAssignedAddOn,holdback
168,311,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{Sid}.json,UpdateIncomingPhoneNumber,measure-part1
169,321,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Keys.json,CreateNewKey,measure-part1
170,319,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Keys/{Sid}.json,UpdateKey,measure-part2
171,324,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages.json,CreateMessage,measure-part1
172,327,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages/{MessageSid}/Feedback.json,CreateMessageFeedback,holdback
173,325,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages/{Sid}.json,UpdateMessage,measure-part2
174,331,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds.json,CreateValidationRequest,holdback
175,329,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds/{Sid}.json,UpdateOutgoingCallerId,measure-part2
176,339,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Queues.json,CreateQueue,measure-part1
177,323,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Queues/{QueueSid}/Members/{CallSid}.json,UpdateMember,measure-part2
178,337,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Queues/{Sid}.json,UpdateQueue,measure-part1
179,358,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists.json,CreateSipCredentialList,measure-part2
180,355,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{CredentialListSid}/Credentials.json,CreateSipCredential,measure-part1
181,356,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{CredentialListSid}/Credentials/{Sid}.json,UpdateSipCredential,measure-part2
182,359,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{Sid}.json,UpdateSipCredentialList,measure-part2
183,363,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains.json,CreateSipDomain,holdback
184,349,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/CredentialListMappings.json,CreateSipAuthCallsCredentialListMapping,measure-part2
185,351,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/IpAccessControlListMappings.json,CreateSipAuthCallsIpAccessControlListMapping,measure-part1
186,353,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Registrations/CredentialListMappings.json,CreateSipAuthRegistrationsCredentialListMapping,measure-part2
187,361,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/CredentialListMappings.json,CreateSipCredentialListMapping,measure-part1
188,370,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/IpAccessControlListMappings.json,CreateSipIpAccessControlListMapping,holdback
189,364,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{Sid}.json,UpdateSipDomain,measure-part2
190,366,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists.json,CreateSipIpAccessControlList,holdback
191,371,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{IpAccessControlListSid}/IpAddresses.json,CreateSipIpAddress,measure-part1
192,372,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{IpAccessControlListSid}/IpAddresses/{Sid}.json,UpdateSipIpAddress,holdback
193,367,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{Sid}.json,UpdateSipIpAccessControlList,holdback
194,346,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SMS/ShortCodes/{Sid}.json,UpdateShortCode,holdback
195,328,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SigningKeys.json,CreateNewSigningKey,holdback
196,347,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SigningKeys/{Sid}.json,UpdateSigningKey,holdback
197,378,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Tokens.json,CreateToken,measure-part1
198,382,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Usage/Triggers.json,CreateUsageTrigger,measure-part1
199,380,holdout1,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Usage/Triggers/{Sid}.json,UpdateUsageTrigger,measure-part2
200,293,holdout1,twilio,POST,/2010-04-01/Accounts/{Sid}.json,UpdateAccount,holdback
201,691,holdout2,adyen,POST,/applePay/sessions,post-applePay-sessions,measure-part1
202,692,holdout2,adyen,POST,/cancels,post-cancels,measure-part1
203,693,holdout2,adyen,POST,/cardDetails,post-cardDetails,holdback
204,694,holdout2,adyen,POST,/donationCampaigns,post-donationCampaigns,measure-part1
205,695,holdout2,adyen,POST,/donations,post-donations,measure-part1
206,696,holdout2,adyen,POST,/forward,post-forward,measure-part1
207,697,holdout2,adyen,POST,/orders,post-orders,measure-part1
208,698,holdout2,adyen,POST,/orders/cancel,post-orders-cancel,measure-part2
209,699,holdout2,adyen,POST,/originKeys,post-originKeys,measure-part2
210,700,holdout2,adyen,POST,/paymentLinks,post-paymentLinks,holdback
211,703,holdout2,adyen,POST,/paymentMethods,post-paymentMethods,measure-part2
212,704,holdout2,adyen,POST,/paymentMethods/balance,post-paymentMethods-balance,measure-part2
213,705,holdout2,adyen,POST,/payments,post-payments,holdback
214,706,holdout2,adyen,POST,/payments/details,post-payments-details,measure-part1
215,707,holdout2,adyen,POST,/payments/{paymentPspReference}/amountUpdates,post-payments-paymentPspReference-amountUpdates,holdback
216,708,holdout2,adyen,POST,/payments/{paymentPspReference}/cancels,post-payments-paymentPspReference-cancels,measure-part2
217,709,holdout2,adyen,POST,/payments/{paymentPspReference}/captures,post-payments-paymentPspReference-captures,holdback
218,710,holdout2,adyen,POST,/payments/{paymentPspReference}/refunds,post-payments-paymentPspReference-refunds,measure-part1
219,711,holdout2,adyen,POST,/payments/{paymentPspReference}/reversals,post-payments-paymentPspReference-reversals,holdback
220,712,holdout2,adyen,POST,/paypal/updateOrder,post-paypal-updateOrder,holdback
221,713,holdout2,adyen,POST,/sessions,post-sessions,measure-part1
222,716,holdout2,adyen,POST,/storedPaymentMethods,post-storedPaymentMethods,holdback
223,718,holdout2,adyen,POST,/validateShopperId,post-validateShopperId,measure-part2
224,499,holdout2,box,POST,/ai/ask,post_ai_ask,measure-part1
225,500,holdout2,box,POST,/ai/text_gen,post_ai_text_gen,measure-part2
226,501,holdout2,box,POST,/ai_agents,post_ai_agents,holdback
227,503,holdout2,box,POST,/collaboration_whitelist_entries,post_collaboration_whitelist_entries,measure-part1
228,508,holdout2,box,POST,/comments,post_comments,measure-part1
229,515,holdout2,box,POST,/files/upload_sessions/{upload_session_id}/commit,post_files_upload_sessions_id_commit,holdback
230,520,holdout2,box,POST,/files/{file_id}/content,post_files_id_content,measure-part1
231,523,holdout2,box,POST,/files/{file_id}/metadata/global/boxSkillsCards,post_files_id_metadata_global_boxSkillsCards,measure-part1
232,527,holdout2,box,POST,/files/{file_id}/versions/current,post_files_id_versions_current,measure-part1
233,536,holdout2,box,POST,/folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo,post_folders_id_metadata_enterprise_securityClassification-6VMVochwUWo,measure-part2
234,544,holdout2,box,POST,/integration_mappings/slack,post_integration_mappings_slack,holdback
235,549,holdout2,box,POST,/legal_hold_policy_assignments,post_legal_hold_policy_assignments,measure-part2
236,551,holdout2,box,POST,/metadata_cascade_policies,post_metadata_cascade_policies,holdback
237,552,holdout2,box,POST,/metadata_cascade_policies/{metadata_cascade_policy_id}/apply,post_metadata_cascade_policies_id_apply,measure-part2
238,555,holdout2,box,POST,/metadata_taxonomies/{namespace}/{taxonomy_key}/levels:append,post_metadata_taxonomies_id_id_levels:append,holdback
239,556,holdout2,box,POST,/metadata_taxonomies/{namespace}/{taxonomy_key}/nodes,post_metadata_taxonomies_id_id_nodes,measure-part2
240,562,holdout2,box,POST,/oauth2/token,post_oauth2_token,measure-part2
241,565,holdout2,box,POST,/retention_policy_assignments,post_retention_policy_assignments,holdback
242,571,holdout2,box,POST,/shield_information_barrier_segment_restrictions,post_shield_information_barrier_segment_restrictions,measure-part2
243,574,holdout2,box,POST,/shield_information_barriers,post_shield_information_barriers,measure-part2
244,576,holdout2,box,POST,/sign_requests/{sign_request_id}/cancel,post_sign_requests_id_cancel,holdback
245,580,holdout2,box,POST,/task_assignments,post_task_assignments,measure-part1
246,589,holdout2,box,POST,/users/{user_id}/email_aliases,post_users_id_email_aliases,measure-part2
247,596,holdout2,box,POST,/workflows/{workflow_id}/start,post_workflows_id_start,holdback
248,601,holdout2,pagerduty,POST,/analytics/metrics/incidents/services,getAnalyticsMetricsIncidentsService,measure-part1
249,602,holdout2,pagerduty,POST,/analytics/metrics/responders/all,getAnalyticsMetricsRespondersAll,holdback
250,604,holdout2,pagerduty,POST,/automation_actions/actions,createAutomationAction,measure-part2
251,606,holdout2,pagerduty,POST,/automation_actions/actions/{id}/teams,createAutomationActionTeamAssociation,measure-part1
252,609,holdout2,pagerduty,POST,/business_services,createBusinessService,holdback
253,611,holdout2,pagerduty,POST,/business_services/{id}/account_subscription,createBusinessServiceAccountSubscription,measure-part2
254,613,holdout2,pagerduty,POST,/enrichment/event_enrichments,createEventEnrichment,measure-part1
255,621,holdout2,pagerduty,POST,/event_orchestrations,postOrchestration,measure-part2
256,627,holdout2,pagerduty,POST,/event_orchestrations/{id}/integrations/migration,migrateOrchestrationIntegration,measure-part2
257,630,holdout2,pagerduty,POST,/extensions/{id}/enable,enableExtension,measure-part1
258,632,holdout2,pagerduty,POST,/incident_workflows/triggers/{id}/services,associateServiceToIncidentWorkflowTrigger,measure-part2
259,633,holdout2,pagerduty,POST,/incident_workflows/{id}/instances,createIncidentWorkflowInstance,holdback
260,634,holdout2,pagerduty,POST,/incidents/custom_fields,createCustomFieldsField,holdback
261,635,holdout2,pagerduty,POST,/incidents/custom_fields/{field_id}/field_options,createCustomFieldsFieldOption,measure-part1
262,641,holdout2,pagerduty,POST,/incidents/{id}/notes,createIncidentNote,holdback
263,643,holdout2,pagerduty,POST,/incidents/{id}/status_updates,createIncidentStatusUpdate,measure-part1
264,644,holdout2,pagerduty,POST,/ip_allow_lists,createIpAllowList,measure-part2
265,649,holdout2,pagerduty,POST,/recommendations/event_orchestrations/services/{service_id}/rules/{recommendation_id}/dismiss,dismissRecommendedRule,measure-part2
266,664,holdout2,pagerduty,POST,/status_pages/{id}/posts,createStatusPagePost,holdback
267,665,holdout2,pagerduty,POST,/status_pages/{id}/posts/{post_id}/post_updates,createStatusPagePostUpdate,holdback
268,725,holdout3,discord,POST,/applications/{application_id}/entitlements,create_entitlement,measure-part2
269,726,holdout3,discord,POST,/applications/{application_id}/entitlements/{entitlement_id}/consume,consume_entitlement,holdback
270,731,holdout3,discord,POST,/channels/{channel_id}/followers,follow_channel,measure-part1
271,735,holdout3,discord,POST,/channels/{channel_id}/messages/{message_id}/crosspost,crosspost_message,measure-part2
272,743,holdout3,discord,POST,/channels/{channel_id}/threads,create_thread,measure-part2
273,751,holdout3,discord,POST,/guilds/{guild_id}/bulk-ban,bulk_ban_users_from_guild,measure-part1
274,752,holdout3,discord,POST,/guilds/{guild_id}/channels,create_guild_channel,measure-part2
275,768,holdout3,discord,POST,/guilds/{guild_id}/soundboard-sounds,create_guild_soundboard_sound,measure-part1
276,777,holdout3,discord,POST,/interactions/{interaction_id}/{interaction_token}/callback,create_interaction_response,holdback
277,779,holdout3,discord,POST,/lobbies,create_lobby,holdback
278,786,holdout3,discord,POST,/partner-sdk/provisional-accounts/unmerge/bot,bot_partner_sdk_unmerge_provisional_account,measure-part1
279,788,holdout3,discord,POST,/stage-instances,create_stage_instance,measure-part1
280,797,holdout3,discord,POST,/webhooks/{webhook_id}/{webhook_token}/github,execute_github_compatible_webhook,holdback
281,806,holdout3,sentry,POST,/api/0/organizations/{organization_id_or_slug}/discover/saved/,createOrganizationDiscoverSavedQuery,measure-part1
282,810,holdout3,sentry,POST,/api/0/organizations/{organization_id_or_slug}/forwarding/,createOrganizationForwarding,measure-part1
283,815,holdout3,sentry,POST,/api/0/organizations/{organization_id_or_slug}/issues/{issue_id}/autofix/,startOrganizationIssueAutofix,holdback
284,819,holdout3,sentry,POST,/api/0/organizations/{organization_id_or_slug}/members/,addOrganizationMember,measure-part2
285,830,holdout3,sentry,POST,/api/0/organizations/{organization_id_or_slug}/releases/,createOrganizationRelease,holdback
286,833,holdout3,sentry,POST,/api/0/organizations/{organization_id_or_slug}/releases/{version}/files/,uploadOrganizationReleaseFile,holdback
287,843,holdout3,sentry,POST,/api/0/organizations/{organization_id_or_slug}/teams/,createOrganizationTeam,measure-part1
288,860,holdout3,sentry,POST,/api/0/projects/{organization_id_or_slug}/{project_id_or_slug}/preprod/snapshots/status-checks/skip/,createProjectPreprodSnapshotSkippedStatusCheck,holdback
289,864,holdout3,sentry,POST,/api/0/projects/{organization_id_or_slug}/{project_id_or_slug}/replays/jobs/delete/,createProjectReplayDeletionJob,measure-part1
290,870,holdout3,sentry,POST,/api/0/projects/{organization_id_or_slug}/{project_id_or_slug}/user-feedback/,Submit User Feedback,measure-part1
