section,set,vendor,repo,method,operationId,gt_class,c15_class,c16_class,c17_class,c17_rule,c17_evidence
all,camara,camara,EdgeApplicationManagement,DELETE,deleteAppDeployment,w,x,x,x,live-verb,summary:terminate
all,camara,camara,EdgeApplicationManagement,PATCH,updateAppDeployment,w,w,w,w,floor,
all,camara,camara,InHomeDeviceManagement,PATCH,updateDevice,x,x,x,x,party-noun,summary:device
all,camara,camara,InHomeDeviceManagement,DELETE,deleteDevice,x,x,x,x,party-noun,summary:device
all,camara,camara,IoTSIMFraudPrevention,DELETE,deleteSubscription,w,w,w,w,floor,
all,camara,camara,ModelAsAService,PUT,updateKnowledgeBase,w,w,w,w,floor,
all,camara,camara,ModelAsAService,DELETE,deleteKnowledgeBase,w,w,w,w,floor,
all,camara,camara,ModelAsAService,DELETE,deleteDocument,w,w,w,w,floor,
all,camara,camara,ModelAsAService,PUT,updateTool,w,w,w,w,floor,
all,camara,camara,ModelAsAService,DELETE,deleteTool,w,w,w,w,floor,
all,camara,camara,ModelAsAService,PUT,updateAssistant,w,w,w,w,floor,
all,camara,camara,ModelAsAService,DELETE,deleteAssistant,w,w,w,w,floor,
all,camara,camara,MultiPointVPN,PATCH,updateNetwork,w,x,x,x,party-noun,summary:network
all,camara,camara,MultiPointVPN,DELETE,deleteNetwork,w,x,x,x,party-noun,summary:network
all,camara,camara,NetworkAccessManagement,PATCH,updateRebootRequest,x,x,x,x,live-verb,opid:reboot
all,camara,camara,NetworkAccessManagement,DELETE,deleteRebootRequest,w,x,x,x,live-verb,opid:reboot
all,camara,camara,NetworkAccessManagement,PATCH,updateTrustDomain,w,w,w,w,floor,
all,camara,camara,NetworkAccessManagement,DELETE,deleteTrustDomain,w,w,w,w,floor,
all,camara,camara,NetworkAccessManagement,PATCH,updateTrustDomainDevice,w,x,x,x,party-noun,summary:device
all,camara,camara,NetworkAccessManagement,DELETE,deleteTrustDomainDevice,w,x,x,x,party-noun,summary:device
all,camara,camara,NetworkSliceBooking,DELETE,deleteSlice,w,w,w,w,floor,
all,camara,camara,QoSBooking,DELETE,deleteBooking,w,w,w,w,floor,
all,camara,camara,QoSBooking,DELETE,deleteBooking,w,w,w,w,floor,
all,camara,camara,QualityOnDemand,DELETE,revokeQosAssignment,w,x,x,x,live-verb,opid:revoke
all,camara,camara,QualityOnDemand,DELETE,deleteSession,w,x,x,x,party-noun,summary:session
all,camara,camara,SessionInsights,DELETE,deleteSession,w,x,x,x,party-noun,summary:session
all,camara,camara,SimSwap,DELETE,deleteSubscription,w,w,w,w,floor,
all,camara,camara,SponsoredData,DELETE,revokeSponsorship,x,x,x,x,live-verb,opid:revoke
all,camara,camara,TrafficInfluence,PATCH,patchTrafficInfluence,x,w,w,x,named-noun,noun:influence
all,camara,camara,TrafficInfluence,DELETE,deleteTrafficInfluence,x,w,x,x,reach-phrase,desc:notification will be sent
all,camara,camara,VerifiedCaller,DELETE,deleteRegistration,w,w,w,w,floor,
all,camara,camara,VerifiedCaller,PUT,updateRegistration,w,w,w,w,floor,
all,camara,camara,WebRTC,DELETE,deleteSessionById,x,x,x,x,live-verb,summary:cancel
all,camara,camara,WebRTC,PUT,updateSessionStatus,x,x,x,x,party-noun,opid:session
all,camara,camara,WebRTC,PUT,updateNotificationChannelSubscription,w,x,x,x,party-noun,opid-token:channel
all,camara,camara,WebRTC,DELETE,deleteNotificationChannelSubscription,w,x,x,x,party-noun,opid-token:channel
all,camara,camara,WebRTC,PUT,updateRegistrationById,w,w,w,w,floor,
all,camara,camara,WebRTC,DELETE,deleteRegistrationById,w,x,x,x,party-noun,summary:session
all,holdout1,twilio,twilio,DELETE,DeleteAddress,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteApplication,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteCall,w,w,w,w,floor,caller-phrase
all,holdout1,twilio,twilio,DELETE,DeleteCallRecording,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteConferenceRecording,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteConnectApp,w,w,w,x,named-noun,noun:instance
all,holdout1,twilio,twilio,DELETE,DeleteIncomingPhoneNumber,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteIncomingPhoneNumberAssignedAddOn,w,x,x,x,party-noun,summary:assignment
all,holdout1,twilio,twilio,DELETE,DeleteKey,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteMedia,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteMessage,w,w,w,w,floor,caller-phrase
all,holdout1,twilio,twilio,DELETE,DeleteOutgoingCallerId,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteParticipant,x,x,x,x,live-verb,summary:kick
all,holdout1,twilio,twilio,DELETE,DeleteQueue,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteRecording,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteRecordingAddOnResult,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteRecordingAddOnResultPayload,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteRecordingTranscription,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSigningKey,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipAuthCallsCredentialListMapping,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipAuthCallsIpAccessControlListMapping,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipAuthRegistrationsCredentialListMapping,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipCredential,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipCredentialList,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipCredentialListMapping,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipDomain,w,w,w,x,named-noun,noun:instance
all,holdout1,twilio,twilio,DELETE,DeleteSipIpAccessControlList,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipIpAccessControlListMapping,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteSipIpAddress,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteTranscription,w,w,w,w,floor,
all,holdout1,twilio,twilio,DELETE,DeleteUsageTrigger,w,x,x,x,live-verb,opid:trigger
all,holdout1,twilio,twilio,DELETE,DeleteUserDefinedMessageSubscription,w,x,x,x,party-noun,opid-token:message
all,holdout1,stripe,stripe,DELETE,DeleteAccountsAccount,x,x,x,x,party-noun,summary:account
all,holdout1,stripe,stripe,DELETE,DeleteAccountsAccountBankAccountsId,w,x,x,x,party-noun,summary:account
all,holdout1,stripe,stripe,DELETE,DeleteAccountsAccountExternalAccountsId,w,x,x,x,party-noun,summary:account
all,holdout1,stripe,stripe,DELETE,DeleteAccountsAccountPeoplePerson,w,x,x,x,party-noun,summary:person
all,holdout1,stripe,stripe,DELETE,DeleteAccountsAccountPersonsPerson,w,x,x,x,party-noun,summary:person
all,holdout1,stripe,stripe,DELETE,DeleteApplePayDomainsDomain,w,x,x,x,live-verb,opid:pay
all,holdout1,stripe,stripe,DELETE,DeleteCouponsCoupon,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomer,x,x,x,x,party-noun,summary:customer
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomerBankAccountsId,w,x,x,x,party-noun,opid:account
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomerCardsId,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomerDiscount,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomerSourcesId,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomerSubscriptionsSubscriptionExposedId,x,x,x,x,live-verb,summary:cancel
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomerSubscriptionsSubscriptionExposedIdDiscount,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteCustomersCustomerTaxIdsId,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteEphemeralKeysKey,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteInvoiceitemsInvoiceitem,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteInvoicesInvoice,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeletePlansPlan,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteProductsId,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteProductsProductFeaturesId,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteRadarValueListItemsItem,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteRadarValueListsValueList,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteSubscriptionItemsItem,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteSubscriptionsSubscriptionExposedId,x,x,x,x,live-verb,summary:cancel
all,holdout1,stripe,stripe,DELETE,DeleteSubscriptionsSubscriptionExposedIdDiscount,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteTaxIdsId,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteTerminalConfigurationsConfiguration,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteTerminalLocationsLocation,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteTerminalReadersReader,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteTestHelpersTestClocksTestClock,w,w,w,w,floor,
all,holdout1,stripe,stripe,DELETE,DeleteWebhookEndpointsWebhookEndpoint,w,x,x,x,party-noun,opid-token:webhook
all,holdout1,github,github,DELETE,apps/delete-installation,x,x,x,x,party-noun,summary:installation
all,holdout1,github,github,DELETE,apps/delete-token,x,x,x,x,party-noun,summary:token
all,holdout1,github,github,DELETE,code-security/delete-configuration-for-enterprise,w,w,w,w,floor,
all,holdout1,github,github,PUT,dependabot/set-repository-access-default-level-for-enterprise,w,w,w,w,floor,
all,holdout1,github,github,PUT,enterprise-team-organizations/add,x,x,x,x,party-noun,summary:assignment
all,holdout1,github,github,DELETE,gists/unstar,w,w,w,w,floor,
all,holdout1,github,github,DELETE,activity/mark-thread-as-done,w,w,w,w,floor,
all,holdout1,github,github,PUT,actions/set-actions-cache-storage-limit-for-organization,w,x,x,x,party-noun,opid:organization
all,holdout1,github,github,DELETE,actions/delete-custom-image-version-from-org,w,w,w,w,floor,
all,holdout1,github,github,PUT,actions/set-github-actions-permissions-organization,w,x,x,x,party-noun,summary:permission
all,holdout1,github,github,PUT,actions/set-selected-repositories-enabled-github-actions-organization,w,x,x,x,party-noun,opid:organization
all,holdout1,github,github,PUT,actions/set-self-hosted-runners-permissions-organization,w,x,x,x,party-noun,opid:organization
all,holdout1,github,github,PUT,actions/set-github-actions-default-workflow-permissions-organization,w,x,x,x,party-noun,summary:permission
all,holdout1,github,github,PUT,actions/add-repo-access-to-self-hosted-runner-group-in-org,w,x,x,x,party-noun,summary:access
all,holdout1,github,github,DELETE,actions/delete-self-hosted-runner-from-org,w,w,w,w,floor,
all,holdout1,github,github,DELETE,actions/delete-org-secret,w,w,w,w,floor,
all,holdout1,github,github,PUT,actions/add-selected-repo-to-org-secret,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,PUT,actions/add-selected-repo-to-org-variable,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,DELETE,agents/remove-selected-repo-from-org-secret,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,DELETE,agents/remove-selected-repo-from-org-variable,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,DELETE,orgs/unblock-user,w,x,x,x,party-noun,summary:user
all,holdout1,github,github,DELETE,code-security/delete-configuration,w,w,w,w,floor,
all,holdout1,github,github,DELETE,codespaces/delete-org-secret,w,w,w,w,floor,
all,holdout1,github,github,PUT,codespaces/add-selected-repo-to-org-secret,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,PUT,copilot-spaces/update-collaborator-for-org,x,x,x,x,party-noun,summary:role
all,holdout1,github,github,DELETE,copilot/cancel-copilot-seat-assignment-for-users,x,x,x,x,party-noun,summary:user
all,holdout1,github,github,PUT,copilot/enable-copilot-coding-agent-for-repository-in-organization,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,PUT,dependabot/create-or-update-org-secret,w,w,w,w,floor,
all,holdout1,github,github,DELETE,orgs/delete-webhook,w,x,x,x,party-noun,summary:webhook
all,holdout1,github,github,DELETE,orgs/delete-issue-field,w,w,w,x,named-noun,noun:field
all,holdout1,github,github,DELETE,codespaces/delete-from-organization,x,x,x,x,party-noun,opid:organization
all,holdout1,github,github,DELETE,migrations/unlock-repo-for-org,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,DELETE,orgs/revoke-all-org-roles-user,x,x,x,x,party-noun,opid:user
all,holdout1,github,github,PUT,orgs/convert-member-to-outside-collaborator,x,x,x,x,live-verb,summary:convert
all,holdout1,github,github,DELETE,projects/delete-item-for-org,w,w,w,w,floor,
all,holdout1,github,github,PUT,orgs/set-public-membership-for-authenticated-user,w,w,w,w,floor,caller-phrase
all,holdout1,github,github,DELETE,orgs/remove-security-manager-team,x,x,x,x,party-noun,summary:team
all,holdout1,github,github,DELETE,orgs/disable-selected-repository-immutable-releases-organization,w,x,x,x,party-noun,summary:repository
all,holdout1,github,github,DELETE,teams/remove-membership-for-user-in-org,x,x,x,x,party-noun,summary:membership
all,holdout1,github,github,DELETE,repos/delete,x,x,x,x,party-noun,summary:repository
all,holdout1,github,github,DELETE,actions/delete-actions-cache-by-key,w,w,w,w,floor,
all,holdout1,github,github,PUT,actions/set-workflow-access-to-repository,w,x,x,x,party-noun,opid:repository
all,holdout1,github,github,PUT,actions/set-allowed-actions-repository,w,x,x,x,party-noun,opid:repository
all,holdout1,github,github,PUT,actions/set-custom-labels-for-self-hosted-runner-for-repo,w,w,w,w,floor,
all,holdout1,github,github,DELETE,actions/delete-repo-secret,w,w,w,w,floor,
all,holdout1,github,github,PUT,actions/enable-workflow,w,w,w,w,floor,
all,holdout1,github,github,DELETE,repos/delete-autolink,w,w,w,w,floor,
all,holdout1,github,github,PUT,repos/update-branch-protection,w,w,w,w,floor,
all,holdout1,github,github,DELETE,repos/remove-status-check-protection,w,w,w,w,floor,
all,holdout1,github,github,DELETE,repos/remove-app-access-restrictions,x,x,x,x,party-noun,summary:restriction
all,holdout1,github,github,DELETE,repos/remove-user-access-restrictions,x,x,x,x,party-noun,summary:restriction
all,holdout1,github,github,DELETE,codespaces/delete-repo-secret,w,w,w,w,floor,
all,holdout1,github,github,DELETE,repos/delete-commit-comment,w,w,w,w,floor,
all,holdout1,github,github,DELETE,dependabot/delete-repo-secret,w,w,w,w,floor,
all,holdout1,github,github,PUT,repos/create-or-update-environment,w,w,w,w,floor,
all,holdout1,github,github,DELETE,actions/delete-environment-secret,w,w,w,w,floor,
all,holdout1,github,github,DELETE,repos/delete-webhook,w,x,x,x,party-noun,summary:webhook
all,holdout1,github,github,PUT,migrations/start-import,x,x,x,x,live-verb,summary:start
all,holdout1,github,github,PUT,interactions/set-pull-request-bypass-list-for-repo,w,x,x,x,party-noun,summary:user
all,holdout1,github,github,PUT,issues/pin-comment,w,w,w,w,floor,
all,holdout1,github,github,PUT,issues/set-issue-field-values,x,w,x,x,reach-phrase,desc:organization-level
all,holdout1,github,github,DELETE,issues/remove-label,w,w,w,w,floor,
all,holdout1,github,github,DELETE,issues/remove-sub-issue,x,w,w,x,named-noun,noun:issue
all,holdout1,github,github,PUT,activity/mark-repo-notifications-as-read,w,w,w,w,floor,
all,holdout1,github,github,PUT,repos/enable-private-vulnerability-reporting,w,w,w,w,floor,
all,holdout1,github,github,PUT,pulls/merge-async,x,x,x,x,live-verb,summary:merge
all,holdout1,github,github,PUT,pulls/dismiss-review,w,w,w,w,floor,
all,holdout1,github,github,DELETE,reactions/delete-for-release,w,x,x,x,party-noun,summary:reaction
all,holdout1,github,github,DELETE,activity/delete-repo-subscription,w,w,w,w,floor,
all,holdout1,github,github,PUT,repos/enable-vulnerability-alerts,w,w,w,w,floor,
all,holdout1,github,github,DELETE,teams/remove-membership-for-user-legacy,x,x,x,x,party-noun,summary:membership
all,holdout1,github,github,DELETE,users/unblock,w,x,x,x,party-noun,summary:user
all,holdout1,github,github,PUT,codespaces/set-repositories-for-secret-for-authenticated-user,w,x,x,x,party-noun,opid:user
all,holdout1,github,github,DELETE,users/delete-email-for-authenticated-user,w,w,w,w,floor,caller-phrase
all,holdout1,github,github,DELETE,apps/remove-repo-from-installation-for-authenticated-user,x,x,x,x,party-noun,summary:repository
all,holdout1,github,github,DELETE,users/delete-public-ssh-key-for-authenticated-user,w,w,w,w,floor,caller-phrase
all,holdout1,github,github,DELETE,packages/delete-package-version-for-authenticated-user,w,w,w,w,floor,caller-phrase
all,holdout1,github,github,DELETE,activity/unstar-repo-for-authenticated-user,w,w,w,w,floor,caller-phrase
all,holdout1,github,github,DELETE,copilot-spaces/delete-for-user,w,x,x,x,party-noun,opid:user
all,holdout1,github,github,DELETE,copilot-spaces/delete-resource-for-user,w,x,x,x,party-noun,opid:user
all,holdout1,github,github,DELETE,projects/delete-item-for-user,w,x,x,x,party-noun,opid:user
all,holdout2,box,box,PUT,put_ai_agents_id,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_collaborations_id,x,x,x,x,party-noun,summary:collaboration
all,holdout2,box,box,PUT,put_comments_id,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_files_upload_sessions_id,w,x,x,x,party-noun,summary:session
all,holdout2,box,box,DELETE,delete_files_id,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_files_id,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_files_id#remove_shared_link,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_files_id_metadata_enterprise_securityClassification-6VMVochwUWo,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_files_id_metadata_enterprise_securityClassification-6VMVochwUWo,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_files_id_versions_id,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_files_id_watermark,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_folder_locks_id,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_folders_id,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_folders_id,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_folders_id#remove_shared_link,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_folders_id_trash,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_group_memberships_id,x,x,x,x,party-noun,summary:user
all,holdout2,box,box,DELETE,delete_groups_id,x,x,x,x,party-noun,summary:group
all,holdout2,box,box,PUT,put_integration_mappings_teams_id,w,x,x,x,party-noun,opid:team
all,holdout2,box,box,PATCH,patch_metadata_taxonomies_id_id,w,w,w,w,floor,
all,holdout2,box,box,PATCH,patch_metadata_taxonomies_id_id_nodes_id,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_metadata_templates_id_id_schema,w,w,w,w,floor,
all,holdout2,box,box,DELETE,delete_shield_information_barrier_segment_members_id,x,x,x,x,party-noun,summary:member
all,holdout2,box,box,DELETE,delete_storage_policy_assignments_id,w,x,x,x,party-noun,opid:assignment
all,holdout2,box,box,PUT,put_task_assignments_id,w,x,x,x,party-noun,summary:assignment
all,holdout2,box,box,PUT,put_terms_of_services_id,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_web_links_id#add_shared_link,w,w,w,w,floor,
all,holdout2,box,box,PUT,put_web_links_id#update_shared_link,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,putBusinessServicePriorityThresholds,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateEventEnrichment,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateEventEnrichmentRules,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteServiceNowTable,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteEscalationPolicy,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteExternalDataCacheVarDataOnServiceOrch,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateOrchestration,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateCacheVarOnGlobalOrch,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateEventOrchestrationFeatureEnablements,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateOrchPathRouter,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateIncidentAlerts,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateRuleset,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateRulesetEventRule,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteScheduleOverride,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteServiceCustomField,w,w,w,x,named-noun,noun:field
all,holdout2,pagerduty,pagerduty,DELETE,deleteServiceCustomFieldOption,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateService,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateServiceEventRule,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteSreMemory,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateStandard,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteStatusPageSubscription,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateTeamUser,w,x,x,x,party-noun,summary:user
all,holdout2,pagerduty,pagerduty,PUT,updateUserNotificationRule,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateUserHandoffNotification,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateUserStatusUpdateNotificationRule,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateScheduleV3,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,PUT,updateEvent,w,w,w,w,floor,
all,holdout2,pagerduty,pagerduty,DELETE,deleteWebhookSubscription,w,x,x,x,party-noun,opid-token:webhook
all,holdout2,pagerduty,pagerduty,DELETE,deleteWorkflowIntegrationConnection,w,w,w,w,floor,
all,holdout2,adyen,adyen,PATCH,patch-paymentLinks-linkId,w,w,w,w,floor,
all,holdout2,adyen,adyen,DELETE,delete-storedPaymentMethods-storedPaymentMethodId,w,x,x,x,party-noun,summary:token
all,holdout3,discord,discord,PATCH,update_application,w,w,w,w,floor,
all,holdout3,discord,discord,DELETE,delete_application_command,w,w,w,w,floor,
all,holdout3,discord,discord,PUT,bulk_set_guild_application_commands,w,x,x,x,party-noun,opid-token:guild
all,holdout3,discord,discord,PUT,set_guild_application_command_permissions,x,x,x,x,party-noun,opid:permission
all,holdout3,discord,discord,DELETE,delete_channel,x,x,x,x,party-noun,opid-token:channel
all,holdout3,discord,discord,DELETE,delete_message,x,x,x,x,party-noun,opid-token:message
all,holdout3,discord,discord,DELETE,delete_user_message_reaction,x,x,x,x,party-noun,opid:reaction
all,holdout3,discord,discord,PUT,set_channel_permission_overwrite,x,x,x,x,party-noun,opid:overwrite
all,holdout3,discord,discord,PUT,deprecated_create_pin,x,x,x,x,party-noun,opid:pin
all,holdout3,discord,discord,DELETE,delete_group_dm_user,x,x,x,x,party-noun,opid:user
all,holdout3,discord,discord,DELETE,delete_thread_member,x,x,x,x,party-noun,opid:member
all,holdout3,discord,discord,PUT,update_voice_channel_status,w,x,x,x,party-noun,opid:channel
all,holdout3,discord,discord,DELETE,unban_user_from_guild,x,x,x,x,party-noun,opid:guild
all,holdout3,discord,discord,DELETE,delete_guild_emoji,x,x,x,x,party-noun,opid:emoji
all,holdout3,discord,discord,PUT,update_guild_incident_actions,x,x,x,x,party-noun,opid-token:guild
all,holdout3,discord,discord,PATCH,update_guild_member,x,x,x,x,party-noun,opid:member
all,holdout3,discord,discord,PUT,add_guild_member_role,x,x,x,x,party-noun,opid:role
all,holdout3,discord,discord,PATCH,bulk_update_guild_roles,x,x,x,x,party-noun,opid-token:guild
all,holdout3,discord,discord,DELETE,delete_guild_role,x,x,x,x,party-noun,opid:role
all,holdout3,discord,discord,DELETE,delete_guild_scheduled_event_exception,w,x,x,x,party-noun,opid-token:guild
all,holdout3,discord,discord,PATCH,update_guild_soundboard_sound,w,x,x,x,party-noun,opid-token:guild
all,holdout3,discord,discord,DELETE,delete_guild_sticker,x,x,x,x,party-noun,opid:sticker
all,holdout3,discord,discord,PATCH,update_guild_template,w,x,x,x,party-noun,opid-token:guild
all,holdout3,discord,discord,PATCH,update_guild_widget_settings,w,x,x,x,party-noun,opid-token:guild
all,holdout3,discord,discord,DELETE,leave_lobby,w,w,w,w,floor,
all,holdout3,discord,discord,DELETE,delete_lobby_member,x,x,x,x,party-noun,opid:member
all,holdout3,discord,discord,PATCH,update_stage_instance,x,w,w,x,named-noun,noun:instance
all,holdout3,discord,discord,PUT,update_application_user_role_connection,w,w,w,w,floor,
all,holdout3,discord,discord,PATCH,update_original_webhook_message,x,x,x,x,party-noun,opid:message
all,holdout3,discord,discord,PATCH,update_webhook_message,x,x,x,x,party-noun,opid:message
all,holdout3,sentry,sentry,PUT,updateOrganizationDiscoverSavedQuery,w,w,w,w,floor,
