set,repo,path,method,operationId,gt_class,pred,confidence,status,evidence,pass,rule
holdout1,twilio,/2010-04-01/Accounts/{Sid}.json,POST,UpdateAccount,w,x,1,assigned,judge:party:opidhead:account,2,R2
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Addresses/{Sid}.json,POST,UpdateAddress,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Applications/{Sid}.json,POST,UpdateApplication,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Calls/{Sid}.json,DELETE,DeleteCall,w,x,1,assigned,judge:party:opidhead:call,2,R2
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/ConnectApps/{Sid}.json,POST,UpdateConnectApp,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{Sid}.json,POST,UpdateIncomingPhoneNumber,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{ResourceSid}/AssignedAddOns/{Sid}.json,DELETE,DeleteIncomingPhoneNumberAssignedAddOn,w,x,1,assigned,judge:party:assignment,2,R2
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Keys/{Sid}.json,POST,UpdateKey,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Messages/{Sid}.json,POST,UpdateMessage,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Messages/{MessageSid}/Feedback.json,POST,CreateMessageFeedback,w,x,0.8,assigned,verbtable:create->raise:shareX=0.974,1,
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds/{Sid}.json,POST,UpdateOutgoingCallerId,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Queues/{Sid}.json,POST,UpdateQueue,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/SMS/ShortCodes/{Sid}.json,POST,UpdateShortCode,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/SigningKeys/{Sid}.json,POST,UpdateSigningKey,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{CredentialListSid}/Credentials/{Sid}.json,POST,UpdateSipCredential,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{Sid}.json,POST,UpdateSipCredentialList,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{Sid}.json,POST,UpdateSipDomain,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{Sid}.json,POST,UpdateSipIpAccessControlList,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{IpAccessControlListSid}/IpAddresses/{Sid}.json,POST,UpdateSipIpAddress,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Siprec/{Sid}.json,POST,UpdateSiprec,w,x,0,assigned,floor,floor,floor
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Usage/Triggers/{Sid}.json,POST,UpdateUsageTrigger,w,x,1,assigned,judge:live-verb:opidtoken:trigger,2,R1
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Usage/Triggers/{Sid}.json,DELETE,DeleteUsageTrigger,w,x,1,assigned,judge:live-verb:opidtoken:trigger,2,R1
holdout1,stripe,/v1/accounts/{account}/bank_accounts/{id},DELETE,DeleteAccountsAccountBankAccountsId,w,x,1,assigned,judge:party:account,2,R2
holdout1,stripe,/v1/accounts/{account}/external_accounts/{id},DELETE,DeleteAccountsAccountExternalAccountsId,w,x,1,assigned,judge:party:account,2,R2
holdout1,stripe,/v1/accounts/{account}/people/{person},DELETE,DeleteAccountsAccountPeoplePerson,w,x,1,assigned,judge:party:person,2,R2
holdout1,stripe,/v1/accounts/{account}/persons/{person},DELETE,DeleteAccountsAccountPersonsPerson,w,x,1,assigned,judge:party:person,2,R2
holdout1,stripe,/v1/apple_pay/domains/{domain},DELETE,DeleteApplePayDomainsDomain,w,x,1,assigned,judge:live-verb:opidtoken:pay,2,R1
holdout1,stripe,/v1/customers/{customer}/bank_accounts/{id},DELETE,DeleteCustomersCustomerBankAccountsId,w,x,1,assigned,judge:party:opidhead:account,2,R2
holdout2,box,/ai/ask,POST,post_ai_ask,r,x,0,assigned,floor,floor,floor
holdout2,box,/ai/text_gen,POST,post_ai_text_gen,r,x,0,assigned,floor,floor,floor
holdout2,box,/files/{file_id}/metadata/global/boxSkillsCards,POST,post_files_id_metadata_global_boxSkillsCards,w,x,0,assigned,floor,floor,floor
holdout2,box,/folders/{folder_id}/metadata/enterprise/securityClassification-6VMVochwUWo,POST,post_folders_id_metadata_enterprise_securityClassification-6VMVochwUWo,w,x,0,assigned,floor,floor,floor
holdout2,box,/metadata_cascade_policies/{metadata_cascade_policy_id}/apply,POST,post_metadata_cascade_policies_id_apply,w,x,0,assigned,floor,floor,floor
holdout2,box,/metadata_taxonomies/{namespace}/{taxonomy_key},PATCH,patch_metadata_taxonomies_id_id,w,x,0,assigned,floor,floor,floor
holdout2,box,/metadata_taxonomies/{namespace}/{taxonomy_key}/nodes/{node_id},PATCH,patch_metadata_taxonomies_id_id_nodes_id,w,x,0,assigned,floor,floor,floor
holdout2,pagerduty,/automation_actions/actions/{id}/teams,POST,createAutomationActionTeamAssociation,w,x,0.8,assigned,verbtable:create->raise:shareX=0.974,1,
holdout2,pagerduty,/event_orchestrations/{id}/integrations/migration,POST,migrateOrchestrationIntegration,w,x,0,assigned,floor,floor,floor
holdout2,pagerduty,/extensions/{id}/enable,POST,enableExtension,w,x,0,assigned,floor,floor,floor
holdout2,pagerduty,/incident_workflows/triggers/{id}/services,POST,associateServiceToIncidentWorkflowTrigger,w,x,1,assigned,judge:live-verb:opidtoken:trigger,2,R1
holdout2,pagerduty,/recommendations/event_orchestrations/services/{service_id}/rules/{recommendation_id}/dismiss,POST,dismissRecommendedRule,w,x,0,assigned,floor,floor,floor
holdout2,pagerduty,/teams/{id}/users/{user_id},PUT,updateTeamUser,w,x,1,assigned,judge:party:user,2,R2
holdout2,adyen,/cardDetails,POST,post-cardDetails,r,x,0,assigned,floor,floor,floor
holdout2,adyen,/donationCampaigns,POST,post-donationCampaigns,r,x,0,assigned,floor,floor,floor
holdout2,adyen,/originKeys,POST,post-originKeys,r,x,0,assigned,floor,floor,floor
holdout2,adyen,/paymentLinks/{linkId},PATCH,patch-paymentLinks-linkId,w,x,0,assigned,floor,floor,floor
holdout2,adyen,/paymentMethods,POST,post-paymentMethods,r,x,0,assigned,floor,floor,floor
holdout2,adyen,/paymentMethods/balance,POST,post-paymentMethods-balance,r,x,0,assigned,floor,floor,floor
holdout2,adyen,/validateShopperId,POST,post-validateShopperId,r,x,0,assigned,floor,floor,floor
