row_id,provider,method,path,operationId,summary,description,truth_class,confidence,reason,source_set
pc-r0017,stripe,POST,/v1/accounts/{account}/external_accounts,PostAccountsAccountExternalAccounts,Create an external account,<p>Create an external account for a given account.</p>,w,high,ii plain create of external account,provider-corpus-2026-09-16
pc-r0018,stripe,GET,/v1/accounts/{account}/external_accounts/{id},GetAccountsAccountExternalAccountsId,Retrieve an external account,<p>Retrieve a specified external account for a given account.</p>,r,,,provider-corpus-2026-09-16
pc-r0019,stripe,POST,/v1/accounts/{account}/external_accounts/{id},PostAccountsAccountExternalAccountsId,Update a bank account,"<p>Updates the metadata, account holder name, account holder type of a bank account belonging to
a connected account and optionally sets it as the default for its currency. Other bank account
details are not editable by design.</p>

<p>You can only update bank accounts when <a href=""/api/accounts/object#account_object-controller-requirement_collection"">account.controller.requirement_collection</a> is <code>application</code>, which includes <a href=""/connect/custom-accounts"">Custom accounts</a>.</p>

<p>You can re-enable a disabled bank account by performing an update call without providing any
arguments or changes.</p>",w,high,iii POST edits bank account details,provider-corpus-2026-09-16
pc-r0020,stripe,DELETE,/v1/accounts/{account}/external_accounts/{id},DeleteAccountsAccountExternalAccountsId,Delete an external account,<p>Delete a specified external account for a given account.</p>,x,high,a DELETE removes external account,provider-corpus-2026-09-16
pc-r0021,stripe,POST,/v1/accounts/{account}/login_links,PostAccountsAccountLoginLinks,Create a login link,"<p>Creates a login link for a connected account to access the Express Dashboard.</p>

<p><strong>You can only create login links for accounts that use the <a href=""/connect/express-dashboard"">Express Dashboard</a> and are connected to your platform</strong>.</p>",w,high,ii creates login link not sent,provider-corpus-2026-09-16
pc-r0022,stripe,GET,/v1/accounts/{account}/people,GetAccountsAccountPeople,List all persons,"<p>Returns a list of people associated with the account’s legal entity. The people are returned sorted by creation date, with the most recent people appearing first.</p>",r,,,provider-corpus-2026-09-16
pc-r0023,stripe,POST,/v1/accounts/{account}/people,PostAccountsAccountPeople,Create a person,<p>Creates a new person.</p>,w,high,ii plain create of person,provider-corpus-2026-09-16
pc-r0024,stripe,GET,/v1/accounts/{account}/people/{person},GetAccountsAccountPeoplePerson,Retrieve a person,<p>Retrieves an existing person.</p>,r,,,provider-corpus-2026-09-16
pc-r0025,stripe,POST,/v1/accounts/{account}/people/{person},PostAccountsAccountPeoplePerson,Update a person,<p>Updates an existing person.</p>,w,high,iii POST edits existing person,provider-corpus-2026-09-16
pc-r0026,stripe,DELETE,/v1/accounts/{account}/people/{person},DeleteAccountsAccountPeoplePerson,Delete a person,"<p>Deletes an existing person’s relationship to the account’s legal entity. Any person with a relationship for an account can be deleted through the API, except if the person is the <code>representative</code>. If your integration is using the <code>executive</code> parameter, you cannot delete the only verified <code>executive</code> on file.</p>",x,high,a DELETE removes person relationship,provider-corpus-2026-09-16
pc-r0027,stripe,GET,/v1/accounts/{account}/persons,GetAccountsAccountPersons,List all persons,"<p>Returns a list of people associated with the account’s legal entity. The people are returned sorted by creation date, with the most recent people appearing first.</p>",r,,,provider-corpus-2026-09-16
pc-r0028,stripe,POST,/v1/accounts/{account}/persons,PostAccountsAccountPersons,Create a person,<p>Creates a new person.</p>,w,high,ii plain create of person,provider-corpus-2026-09-16
pc-r0029,stripe,GET,/v1/accounts/{account}/persons/{person},GetAccountsAccountPersonsPerson,Retrieve a person,<p>Retrieves an existing person.</p>,r,,,provider-corpus-2026-09-16
pc-r0030,stripe,POST,/v1/accounts/{account}/persons/{person},PostAccountsAccountPersonsPerson,Update a person,<p>Updates an existing person.</p>,w,high,iii edits person,provider-corpus-2026-09-16
pc-r0031,stripe,DELETE,/v1/accounts/{account}/persons/{person},DeleteAccountsAccountPersonsPerson,Delete a person,"<p>Deletes an existing person’s relationship to the account’s legal entity. Any person with a relationship for an account can be deleted through the API, except if the person is the <code>representative</code>. If your integration is using the <code>executive</code> parameter, you cannot delete the only verified <code>executive</code> on file.</p>",x,high,a DELETE person relationship,provider-corpus-2026-09-16
pc-r0032,stripe,POST,/v1/accounts/{account}/reject,PostAccountsAccountReject,Reject an account,"<p>With <a href=""/connect"">Connect</a>, you can reject accounts that you have flagged as suspicious.</p>

<p>Only accounts where your platform is liable for negative account balances, which includes Custom and Express accounts, can be rejected.</p>",x,high,f rejects account state cannot step back,provider-corpus-2026-09-16
pc-r0033,stripe,POST,/v1/accounts/{account}/unreject,PostAccountsAccountUnreject,Unreject an account,"<p>With Connect, you can unreject accounts that you have previously rejected.</p>

<p>Only accounts that were rejected by your platform can be unrejected. This API cannot be used to unreject accounts that were rejected by Stripe.</p>

<p>Unreject will only enable charges and/or payouts if there are no other restrictions other than those placed by a previous rejection. If you have separately paused charges and/or payouts outside of rejection, those pauses will remain in place after unrejection.</p>",w,high,toggle unreject has reject,provider-corpus-2026-09-16
pc-r0034,stripe,GET,/v1/apple_pay/domains,GetApplePayDomains,,<p>List apple pay domains.</p>,r,,,provider-corpus-2026-09-16
pc-r0035,stripe,POST,/v1/apple_pay/domains,PostApplePayDomains,,<p>Create an apple pay domain.</p>,w,high,ii plain create of apple pay domain,provider-corpus-2026-09-16
pc-r0036,stripe,GET,/v1/apple_pay/domains/{domain},GetApplePayDomainsDomain,,<p>Retrieve an apple pay domain.</p>,r,,,provider-corpus-2026-09-16
pc-r0037,stripe,DELETE,/v1/apple_pay/domains/{domain},DeleteApplePayDomainsDomain,,<p>Delete an apple pay domain.</p>,x,high,a DELETE apple pay domain,provider-corpus-2026-09-16
pc-r0038,stripe,GET,/v1/application_fees,GetApplicationFees,List all application fees,"<p>Returns a list of application fees you’ve previously collected. The application fees are returned in sorted order, with the most recent fees appearing first.</p>",r,,,provider-corpus-2026-09-16
pc-r0039,stripe,GET,/v1/application_fees/{fee}/refunds/{id},GetApplicationFeesFeeRefundsId,Retrieve an application fee refund,"<p>By default, you can see the 10 most recent refunds stored directly on the application fee object, but you can also retrieve details about a specific refund stored on the application fee.</p>",r,,,provider-corpus-2026-09-16
pc-r0040,stripe,POST,/v1/application_fees/{fee}/refunds/{id},PostApplicationFeesFeeRefundsId,Update an application fee refund,"<p>Updates the specified application fee refund by setting the values of the parameters passed. Any parameters not provided will be left unchanged.</p>

<p>This request only accepts metadata as an argument.</p>",w,high,iii edits refund metadata,provider-corpus-2026-09-16
pc-r0041,stripe,GET,/v1/application_fees/{id},GetApplicationFeesId,Retrieve an application fee,<p>Retrieves the details of an application fee that your account has collected. The same information is returned when refunding the application fee.</p>,r,,,provider-corpus-2026-09-16
pc-r0042,stripe,POST,/v1/application_fees/{id}/refund,PostApplicationFeesIdRefund,,,x,high,d refunds application fee,provider-corpus-2026-09-16
pc-r0043,stripe,GET,/v1/application_fees/{id}/refunds,GetApplicationFeesIdRefunds,List all application fee refunds,"<p>You can see a list of the refunds belonging to a specific application fee. Note that the 10 most recent refunds are always available by default on the application fee object. If you need more than those 10, you can use this API method and the <code>limit</code> and <code>starting_after</code> parameters to page through additional refunds.</p>",r,,,provider-corpus-2026-09-16
pc-r0044,stripe,POST,/v1/application_fees/{id}/refunds,PostApplicationFeesIdRefunds,Create an application fee refund,"<p>Refunds an application fee that has previously been collected but not yet refunded.
Funds will be refunded to the Stripe account from which the fee was originally collected.</p>

<p>You can optionally refund only part of an application fee.
You can do so multiple times, until the entire fee has been refunded.</p>

<p>Once entirely refunded, an application fee can’t be refunded again.
This method will raise an error when called on an already-refunded application fee,
or when trying to refund more money than is left on an application fee.</p>",x,high,d refunds application fee,provider-corpus-2026-09-16
pc-r0045,stripe,GET,/v1/apps/secrets,GetAppsSecrets,List secrets,<p>List all secrets stored on the given scope.</p>,r,,,provider-corpus-2026-09-16
pc-r0046,stripe,POST,/v1/apps/secrets,PostAppsSecrets,Set a Secret,<p>Create or replace a secret in the secret store.</p>,w,high,iii sets secret value settable back,provider-corpus-2026-09-16
pc-r0047,stripe,POST,/v1/apps/secrets/delete,PostAppsSecretsDelete,Delete a Secret,<p>Deletes a secret from the secret store by name and scope.</p>,x,high,a POST deletes secret,provider-corpus-2026-09-16
pc-r0048,stripe,GET,/v1/apps/secrets/find,GetAppsSecretsFind,Find a Secret,<p>Finds a secret in the secret store by name and scope.</p>,r,,,provider-corpus-2026-09-16
pc-r0049,stripe,GET,/v1/balance,GetBalance,Retrieve balance,"<p>Retrieves the current account balance, based on the authentication that was used to make the request.
 For a sample request, see <a href=""/docs/connect/account-balances#accounting-for-negative-balances"">Accounting for negative balances</a>.</p>",r,,,provider-corpus-2026-09-16
pc-r0050,stripe,GET,/v1/balance/history,GetBalanceHistory,List all balance transactions,"<p>Returns a list of transactions that have contributed to the Stripe account balance (for example, charges, transfers, and so on). The transactions return in sorted order, with the most recent transactions appearing first.</p>

<p>The previous name of this endpoint was “Balance history,” and it used the path <code>/v1/balance/history</code>.</p>",r,,,provider-corpus-2026-09-16
pc-r0051,stripe,GET,/v1/balance/history/{id},GetBalanceHistoryId,Retrieve a balance transaction,"<p>Retrieves the balance transaction with the given ID.</p>

<p>Note that this endpoint previously used the path <code>/v1/balance/history/:id</code>.</p>",r,,,provider-corpus-2026-09-16
pc-r0052,stripe,GET,/v1/balance_settings,GetBalanceSettings,Retrieve balance settings,"<p>Retrieves balance settings for a given connected account.
 Related guide: <a href=""/connect/authentication"">Making API calls for connected accounts</a></p>",r,,,provider-corpus-2026-09-16
pc-r0053,stripe,POST,/v1/balance_settings,PostBalanceSettings,Update balance settings,"<p>Updates balance settings for a given connected account.
 Related guide: <a href=""/connect/authentication"">Making API calls for connected accounts</a></p>",w,high,iii POST updates balance settings,provider-corpus-2026-09-16
pc-r0054,stripe,GET,/v1/balance_transactions,GetBalanceTransactions,List all balance transactions,"<p>Returns a list of transactions that have contributed to the Stripe account balance (for example, charges, transfers, and so on). The transactions return in sorted order, with the most recent transactions appearing first.</p>

<p>The previous name of this endpoint was “Balance history,” and it used the path <code>/v1/balance/history</code>.</p>",r,,,provider-corpus-2026-09-16
pc-r0055,stripe,GET,/v1/balance_transactions/{id},GetBalanceTransactionsId,Retrieve a balance transaction,"<p>Retrieves the balance transaction with the given ID.</p>

<p>Note that this endpoint previously used the path <code>/v1/balance/history/:id</code>.</p>",r,,,provider-corpus-2026-09-16
pc-r0056,stripe,GET,/v1/billing/alerts,GetBillingAlerts,List billing alerts,<p>Lists billing active and inactive alerts</p>,r,,,provider-corpus-2026-09-16
pc-r0057,stripe,POST,/v1/billing/alerts,PostBillingAlerts,Create a billing alert,<p>Creates a billing alert</p>,w,high,ii plain create of billing alert,provider-corpus-2026-09-16
pc-r0058,stripe,GET,/v1/billing/alerts/{id},GetBillingAlertsId,Retrieve a billing alert,<p>Retrieves a billing alert given an ID</p>,r,,,provider-corpus-2026-09-16
pc-r0059,stripe,POST,/v1/billing/alerts/{id}/activate,PostBillingAlertsIdActivate,Activate a billing alert,"<p>Reactivates this alert, allowing it to trigger again.</p>",w,high,toggle activate has deactivate,provider-corpus-2026-09-16
pc-r0060,stripe,POST,/v1/billing/alerts/{id}/archive,PostBillingAlertsIdArchive,Archive a billing alert,"<p>Archives this alert, removing it from the list view and APIs. This is non-reversible.</p>",x,high,a archive non-reversible,provider-corpus-2026-09-16
pc-r0061,stripe,POST,/v1/billing/alerts/{id}/deactivate,PostBillingAlertsIdDeactivate,Deactivate a billing alert,"<p>Deactivates this alert, preventing it from triggering.</p>",w,high,toggle deactivate alert has activate,provider-corpus-2026-09-16
pc-r0062,stripe,GET,/v1/billing/credit_balance_summary,GetBillingCreditBalanceSummary,Retrieve the credit balance summary for a customer,<p>Retrieves the credit balance summary for a customer.</p>,r,,,provider-corpus-2026-09-16
pc-r0063,stripe,GET,/v1/billing/credit_balance_transactions,GetBillingCreditBalanceTransactions,List credit balance transactions,<p>Retrieve a list of credit balance transactions.</p>,r,,,provider-corpus-2026-09-16
pc-r0064,stripe,GET,/v1/billing/credit_balance_transactions/{id},GetBillingCreditBalanceTransactionsId,Retrieve a credit balance transaction,<p>Retrieves a credit balance transaction.</p>,r,,,provider-corpus-2026-09-16
pc-r0065,stripe,GET,/v1/billing/credit_grants,GetBillingCreditGrants,List credit grants,<p>Retrieve a list of credit grants.</p>,r,,,provider-corpus-2026-09-16
pc-r0066,stripe,POST,/v1/billing/credit_grants,PostBillingCreditGrants,Create a credit grant,<p>Creates a credit grant.</p>,w,high,ii plain create of credit grant,provider-corpus-2026-09-16
pc-r0067,stripe,GET,/v1/billing/credit_grants/{id},GetBillingCreditGrantsId,Retrieve a credit grant,<p>Retrieves a credit grant.</p>,r,,,provider-corpus-2026-09-16
pc-r0068,stripe,POST,/v1/billing/credit_grants/{id},PostBillingCreditGrantsId,Update a credit grant,<p>Updates a credit grant.</p>,w,high,iii edits credit grant,provider-corpus-2026-09-16
pc-r0069,stripe,POST,/v1/billing/credit_grants/{id}/expire,PostBillingCreditGrantsIdExpire,Expire a credit grant,<p>Expires a credit grant.</p>,x,high,b expires credit grant,provider-corpus-2026-09-16
pc-r0070,stripe,POST,/v1/billing/credit_grants/{id}/void,PostBillingCreditGrantsIdVoid,Void a credit grant,<p>Voids a credit grant.</p>,x,high,voids credit grant,provider-corpus-2026-09-16
pc-r0071,stripe,GET,/v1/billing/feedback_options,GetBillingFeedbackOptions,Feedback Options List API Method,<p>An API method for listing the feedback options model</p>,r,,,provider-corpus-2026-09-16
pc-r0072,stripe,POST,/v1/billing/feedback_options,PostBillingFeedbackOptions,Create a feedback option,<p>Creates a new feedback option.</p>,w,high,ii plain create of feedback option,provider-corpus-2026-09-16
pc-r0073,stripe,GET,/v1/billing/feedback_options/{id},GetBillingFeedbackOptionsId,Retrieve a feedback option,<p>Retrieves a feedback options object given an ID.</p>,r,,,provider-corpus-2026-09-16
pc-r0074,stripe,POST,/v1/billing/feedback_options/{id},PostBillingFeedbackOptionsId,Update a feedback option,<p>Updates the description of an existing feedback option.</p>,w,high,iii POST edits feedback option,provider-corpus-2026-09-16
pc-r0075,stripe,POST,/v1/billing/feedback_options/{id}/deactivate,PostBillingFeedbackOptionsIdDeactivate,Deactivate a feedback option,<p>Deactivates a feedback option. Deactivated feedback options cannot be used in portal configurations.</p>,w,low,toggle deactivate opposite not named,provider-corpus-2026-09-16
pc-r0076,stripe,POST,/v1/billing/meter_event_adjustments,PostBillingMeterEventAdjustments,Create a billing meter event adjustment,<p>Creates a billing meter event adjustment.</p>,w,low,ii creates meter adjustment record,provider-corpus-2026-09-16
pc-r0077,stripe,POST,/v1/billing/meter_events,PostBillingMeterEvents,Create a billing meter event,<p>Creates a billing meter event.</p>,x,low,d meter event feeds billing unsure tighter,provider-corpus-2026-09-16
pc-r0078,stripe,GET,/v1/billing/meters,GetBillingMeters,List billing meters,<p>Retrieve a list of billing meters.</p>,r,,,provider-corpus-2026-09-16
pc-r0079,stripe,POST,/v1/billing/meters,PostBillingMeters,Create a billing meter,<p>Creates a billing meter.</p>,w,high,ii plain create of meter,provider-corpus-2026-09-16
pc-r0080,stripe,GET,/v1/billing/meters/{id},GetBillingMetersId,Retrieve a billing meter,<p>Retrieves a billing meter given an ID.</p>,r,,,provider-corpus-2026-09-16
pc-r0081,stripe,POST,/v1/billing/meters/{id},PostBillingMetersId,Update a billing meter,<p>Updates a billing meter.</p>,w,high,iii POST edits billing meter,provider-corpus-2026-09-16
pc-r0082,stripe,POST,/v1/billing/meters/{id}/deactivate,PostBillingMetersIdDeactivate,Deactivate a billing meter,"<p>When a meter is deactivated, no more meter events will be accepted for this meter. You can’t attach a deactivated meter to a price.</p>",w,low,toggle deactivate opposite not named in text,provider-corpus-2026-09-16
pc-r0083,stripe,GET,/v1/billing/meters/{id}/event_summaries,GetBillingMetersIdEventSummaries,List billing meter event summaries,<p>Retrieve a list of billing meter event summaries.</p>,r,,,provider-corpus-2026-09-16
pc-r0084,stripe,POST,/v1/billing/meters/{id}/reactivate,PostBillingMetersIdReactivate,Reactivate a billing meter,"<p>When a meter is reactivated, events for this meter can be accepted and you can attach the meter to a price.</p>",w,high,toggle reactivate has deactivate,provider-corpus-2026-09-16
pc-r0085,stripe,GET,/v1/billing_portal/configurations,GetBillingPortalConfigurations,List portal configurations,<p>Returns a list of configurations that describe the functionality of the customer portal.</p>,r,,,provider-corpus-2026-09-16
pc-r0086,stripe,POST,/v1/billing_portal/configurations,PostBillingPortalConfigurations,Create a portal configuration,<p>Creates a configuration that describes the functionality and behavior of a PortalSession</p>,w,high,ii plain create of portal configuration,provider-corpus-2026-09-16
pc-r0087,stripe,GET,/v1/billing_portal/configurations/{configuration},GetBillingPortalConfigurationsConfiguration,Retrieve a portal configuration,<p>Retrieves a configuration that describes the functionality of the customer portal.</p>,r,,,provider-corpus-2026-09-16
pc-r0088,stripe,POST,/v1/billing_portal/configurations/{configuration},PostBillingPortalConfigurationsConfiguration,Update a portal configuration,<p>Updates a configuration that describes the functionality of the customer portal.</p>,w,high,iii edits portal configuration,provider-corpus-2026-09-16
pc-r0089,stripe,POST,/v1/billing_portal/sessions,PostBillingPortalSessions,Create a portal session,<p>Creates a session of the customer portal.</p>,w,high,ii plain create of portal session,provider-corpus-2026-09-16
pc-r0090,stripe,GET,/v1/charges,GetCharges,List all charges,"<p>Returns a list of charges you’ve previously created. The charges are returned in sorted order, with the most recent charges appearing first.</p>",r,,,provider-corpus-2026-09-16
pc-r0091,stripe,POST,/v1/charges,PostCharges,Create a charge,"<p>This method is no longer recommended—use the <a href=""/docs/api/payment_intents"">Payment Intents API</a>
to initiate a new payment instead. Confirmation of the PaymentIntent creates the <code>Charge</code>
object used to request payment.</p>",x,high,d creates charge requests payment,provider-corpus-2026-09-16
pc-r0092,stripe,GET,/v1/charges/search,GetChargesSearch,Search charges,"<p>Search for charges you’ve previously created using Stripe’s <a href=""/docs/search#search-query-language"">Search Query Language</a>.
Don’t use search in read-after-write flows where strict consistency is necessary. Under normal operating
conditions, data is searchable in less than a minute. Occasionally, propagation of new or updated data can be up
to an hour behind during outages. Search functionality is not available to merchants in India.</p>",r,,,provider-corpus-2026-09-16
pc-r0093,stripe,GET,/v1/charges/{charge},GetChargesCharge,Retrieve a charge,"<p>Retrieves the details of a charge that has previously been created. Supply the unique charge ID that was returned from your previous request, and Stripe will return the corresponding charge information. The same information is returned when creating or refunding the charge.</p>",r,,,provider-corpus-2026-09-16
pc-r0094,stripe,POST,/v1/charges/{charge},PostChargesCharge,Update a charge,<p>Updates the specified charge by setting the values of the parameters passed. Any parameters not provided will be left unchanged.</p>,w,high,iii edits existing charge,provider-corpus-2026-09-16
pc-r0095,stripe,POST,/v1/charges/{charge}/capture,PostChargesChargeCapture,Capture a charge,"<p>Capture the payment of an existing, uncaptured charge that was created with the <code>capture</code> option set to false.</p>

<p>Uncaptured payments expire a set number of days after they are created (<a href=""/docs/charges/placing-a-hold"">7 by default</a>), after which they are marked as refunded and capture attempts will fail.</p>

<p>Don’t use this method to capture a PaymentIntent-initiated charge. Use <a href=""/docs/api/payment_intents/capture"">Capture a PaymentIntent</a>.</p>",x,high,d captures payment charges money,provider-corpus-2026-09-16
pc-r0096,stripe,GET,/v1/charges/{charge}/dispute,GetChargesChargeDispute,,<p>Retrieve a dispute for a specified charge.</p>,r,,,provider-corpus-2026-09-16
pc-r0097,stripe,POST,/v1/charges/{charge}/dispute,PostChargesChargeDispute,,,x,low,no text POST dispute on charge tighter,provider-corpus-2026-09-16
pc-r0098,stripe,POST,/v1/charges/{charge}/dispute/close,PostChargesChargeDisputeClose,,,x,low,f closes dispute no text tighter,provider-corpus-2026-09-16
pc-r0099,stripe,POST,/v1/charges/{charge}/refund,PostChargesChargeRefund,Create a refund,"<p>When you create a new refund, you must specify either a Charge or a PaymentIntent object.</p>

<p>This action refunds a previously created charge that’s not refunded yet.
Funds are refunded to the credit or debit card that’s originally charged.</p>

<p>You can optionally refund only part of a charge.
You can repeat this until the entire charge is refunded.</p>

<p>After you entirely refund a charge, you can’t refund it again.
This method raises an error when it’s called on an already-refunded charge,
or when you attempt to refund more money than is left on a charge.</p>",x,high,d refunds charge moves money,provider-corpus-2026-09-16
pc-r0100,stripe,GET,/v1/charges/{charge}/refunds,GetChargesChargeRefunds,List all refunds,"<p>You can see a list of the refunds belonging to a specific charge. Note that the 10 most recent refunds are always available by default on the charge object. If you need more than those 10, you can use this API method and the <code>limit</code> and <code>starting_after</code> parameters to page through additional refunds.</p>",r,,,provider-corpus-2026-09-16
pc-r0101,stripe,POST,/v1/charges/{charge}/refunds,PostChargesChargeRefunds,Create a refund,"<p>When you create a new refund, you must specify a Charge or a PaymentIntent object on which to create it.</p>

<p>Creating a new refund will refund a charge that has previously been created but not yet refunded.
Funds will be refunded to the credit or debit card that was originally charged.</p>

<p>You can optionally refund only part of a charge.
You can do so multiple times, until the entire charge has been refunded.</p>

<p>Once entirely refunded, a charge can’t be refunded again.
This method will raise an error when called on an already-refunded charge,
or when trying to refund more money than is left on a charge.</p>",x,high,d refunds charge,provider-corpus-2026-09-16
pc-r0102,stripe,GET,/v1/charges/{charge}/refunds/{refund},GetChargesChargeRefundsRefund,,<p>Retrieves the details of an existing refund.</p>,r,,,provider-corpus-2026-09-16
pc-r0103,stripe,POST,/v1/charges/{charge}/refunds/{refund},PostChargesChargeRefundsRefund,,<p>Update a specified refund.</p>,w,high,iii edits refund metadata,provider-corpus-2026-09-16
pc-r0104,stripe,GET,/v1/checkout/sessions,GetCheckoutSessions,List all Checkout Sessions,<p>Returns a list of Checkout Sessions.</p>,r,,,provider-corpus-2026-09-16
pc-r0105,stripe,POST,/v1/checkout/sessions,PostCheckoutSessions,Create a Checkout Session,<p>Creates a Checkout Session object.</p>,w,high,ii plain create of session,provider-corpus-2026-09-16
pc-r0106,stripe,GET,/v1/checkout/sessions/{session},GetCheckoutSessionsSession,Retrieve a Checkout Session,<p>Retrieves a Checkout Session object.</p>,r,,,provider-corpus-2026-09-16
pc-r0107,stripe,POST,/v1/checkout/sessions/{session},PostCheckoutSessionsSession,Update a Checkout Session,"<p>Updates a Checkout Session object.</p>

<p>Related guide: <a href=""/payments/advanced/dynamic-updates"">Dynamically update a Checkout Session</a></p>",w,high,iii POST updates session,provider-corpus-2026-09-16
pc-r0108,stripe,POST,/v1/checkout/sessions/{session}/expire,PostCheckoutSessionsSessionExpire,Expire a Checkout Session,"<p>A Checkout Session can be expired when it is in one of these statuses: <code>open</code> </p>

<p>After it expires, a customer can’t complete a Checkout Session and customers loading the Checkout Session see a message saying the Checkout Session is expired.</p>",x,high,b expires session cannot be unexpired,provider-corpus-2026-09-16
